href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/6M2wZ9GZgrQXHCFfjv46we,6M2wZ9GZgrQXHCFfjv46we,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb0c68f6c95232e716f0abee8d', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051740c68f6c95232e716f0abee8d', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1780c68f6c95232e716f0abee8d', 'height': 160, 'width': 160}]",Dua Lipa,artist,spotify:artist:6M2wZ9GZgrQXHCFfjv46we,https://open.spotify.com/artist/6M2wZ9GZgrQXHCFfjv46we
https://api.spotify.com/v1/artists/6jJ0s89eD6GaHleKKya26X,6jJ0s89eD6GaHleKKya26X,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb4be5330bd48527f9dd620663', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051744be5330bd48527f9dd620663', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1784be5330bd48527f9dd620663', 'height': 160, 'width': 160}]",Katy Perry,artist,spotify:artist:6jJ0s89eD6GaHleKKya26X,https://open.spotify.com/artist/6jJ0s89eD6GaHleKKya26X
https://api.spotify.com/v1/artists/74KM79TiuVKeVCqs8QtB0B,74KM79TiuVKeVCqs8QtB0B,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb78e45cfa4697ce3c437cb455', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517478e45cfa4697ce3c437cb455', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17878e45cfa4697ce3c437cb455', 'height': 160, 'width': 160}]",Sabrina Carpenter,artist,spotify:artist:74KM79TiuVKeVCqs8QtB0B,https://open.spotify.com/artist/74KM79TiuVKeVCqs8QtB0B
https://api.spotify.com/v1/artists/5YGY8feqx7naU7z4HrwZM6,5YGY8feqx7naU7z4HrwZM6,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebb14a2f1cede69cef4fb03b60', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174b14a2f1cede69cef4fb03b60', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178b14a2f1cede69cef4fb03b60', 'height': 160, 'width': 160}]",Miley Cyrus,artist,spotify:artist:5YGY8feqx7naU7z4HrwZM6,https://open.spotify.com/artist/5YGY8feqx7naU7z4HrwZM6
https://api.spotify.com/v1/artists/0NGAZxHanS9e0iNHpR8f2W,0NGAZxHanS9e0iNHpR8f2W,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb6b07a040a57d013a7e49f908', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051746b07a040a57d013a7e49f908', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1786b07a040a57d013a7e49f908', 'height': 160, 'width': 160}]",Alok,artist,spotify:artist:0NGAZxHanS9e0iNHpR8f2W,https://open.spotify.com/artist/0NGAZxHanS9e0iNHpR8f2W
https://api.spotify.com/v1/artists/3Nrfpe0tUJi4K4DXYWgMUX,3Nrfpe0tUJi4K4DXYWgMUX,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebf80ec63ea7a0ef0fba60957d', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174f80ec63ea7a0ef0fba60957d', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178f80ec63ea7a0ef0fba60957d', 'height': 160, 'width': 160}]",BTS,artist,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX,https://open.spotify.com/artist/3Nrfpe0tUJi4K4DXYWgMUX
https://api.spotify.com/v1/artists/7FNnA9vBm6EKceENgCGRMb,7FNnA9vBm6EKceENgCGRMb,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb777419bf9a701a78fdd6515f', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174777419bf9a701a78fdd6515f', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178777419bf9a701a78fdd6515f', 'height': 160, 'width': 160}]",Anitta,artist,spotify:artist:7FNnA9vBm6EKceENgCGRMb,https://open.spotify.com/artist/7FNnA9vBm6EKceENgCGRMb
https://api.spotify.com/v1/artists/0XBshqM0bCHcft0iBUNErz,0XBshqM0bCHcft0iBUNErz,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273fa9c2ac07d59c83529d39d5e', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02fa9c2ac07d59c83529d39d5e', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851fa9c2ac07d59c83529d39d5e', 'height': 64, 'width': 64}]",The Dua Lipa Cover Band,artist,spotify:artist:0XBshqM0bCHcft0iBUNErz,https://open.spotify.com/artist/0XBshqM0bCHcft0iBUNErz
https://api.spotify.com/v1/artists/3d5yLvyFe84GxN2iBxq7Fu,3d5yLvyFe84GxN2iBxq7Fu,[],Dua Lipapa,artist,spotify:artist:3d5yLvyFe84GxN2iBxq7Fu,https://open.spotify.com/artist/3d5yLvyFe84GxN2iBxq7Fu
https://api.spotify.com/v1/artists/5dPAU1hj01l7evl47KdU9L,5dPAU1hj01l7evl47KdU9L,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb08a1174707fcc917d7392d20', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517408a1174707fcc917d7392d20', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17808a1174707fcc917d7392d20', 'height': 160, 'width': 160}]",Dua Empat,artist,spotify:artist:5dPAU1hj01l7evl47KdU9L,https://open.spotify.com/artist/5dPAU1hj01l7evl47KdU9L
