href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/66CXWjxzNUsdJxJ2JdwvnR,66CXWjxzNUsdJxJ2JdwvnR,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb6725802588d7dc1aba076ca5', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051746725802588d7dc1aba076ca5', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1786725802588d7dc1aba076ca5', 'height': 160, 'width': 160}]",Ariana Grande,artist,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR,https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR
https://api.spotify.com/v1/artists/74KM79TiuVKeVCqs8QtB0B,74KM79TiuVKeVCqs8QtB0B,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb78e45cfa4697ce3c437cb455', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517478e45cfa4697ce3c437cb455', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17878e45cfa4697ce3c437cb455', 'height': 160, 'width': 160}]",Sabrina Carpenter,artist,spotify:artist:74KM79TiuVKeVCqs8QtB0B,https://open.spotify.com/artist/74KM79TiuVKeVCqs8QtB0B
https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02,06HL4z0CvFAxyc27GXpf02,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebe2e8e7ff002a4afda1c7147e', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174e2e8e7ff002a4afda1c7147e', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178e2e8e7ff002a4afda1c7147e', 'height': 160, 'width': 160}]",Taylor Swift,artist,spotify:artist:06HL4z0CvFAxyc27GXpf02,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02
https://api.spotify.com/v1/artists/5pKCCKE2ajJHZ9KAiaK11H,5pKCCKE2ajJHZ9KAiaK11H,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebcb565a8e684e3be458d329ac', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174cb565a8e684e3be458d329ac', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178cb565a8e684e3be458d329ac', 'height': 160, 'width': 160}]",Rihanna,artist,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,https://open.spotify.com/artist/5pKCCKE2ajJHZ9KAiaK11H
https://api.spotify.com/v1/artists/1uNFoZAHBGtllmzznpCI3s,1uNFoZAHBGtllmzznpCI3s,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebaf20f7db5288bce9beede034', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174af20f7db5288bce9beede034', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178af20f7db5288bce9beede034', 'height': 160, 'width': 160}]",Justin Bieber,artist,spotify:artist:1uNFoZAHBGtllmzznpCI3s,https://open.spotify.com/artist/1uNFoZAHBGtllmzznpCI3s
https://api.spotify.com/v1/artists/7FNnA9vBm6EKceENgCGRMb,7FNnA9vBm6EKceENgCGRMb,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb777419bf9a701a78fdd6515f', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174777419bf9a701a78fdd6515f', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178777419bf9a701a78fdd6515f', 'height': 160, 'width': 160}]",Anitta,artist,spotify:artist:7FNnA9vBm6EKceENgCGRMb,https://open.spotify.com/artist/7FNnA9vBm6EKceENgCGRMb
https://api.spotify.com/v1/artists/3Nrfpe0tUJi4K4DXYWgMUX,3Nrfpe0tUJi4K4DXYWgMUX,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebf80ec63ea7a0ef0fba60957d', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174f80ec63ea7a0ef0fba60957d', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178f80ec63ea7a0ef0fba60957d', 'height': 160, 'width': 160}]",BTS,artist,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX,https://open.spotify.com/artist/3Nrfpe0tUJi4K4DXYWgMUX
https://api.spotify.com/v1/artists/54Aus3mqSXzHDr5MJMFJal,54Aus3mqSXzHDr5MJMFJal,[],Ariana Grande-Butera,artist,spotify:artist:54Aus3mqSXzHDr5MJMFJal,https://open.spotify.com/artist/54Aus3mqSXzHDr5MJMFJal
https://api.spotify.com/v1/artists/3ga5L7qMI06NaxNFj1rIWa,3ga5L7qMI06NaxNFj1rIWa,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273a4901ca8bfde6d04c3aced73', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02a4901ca8bfde6d04c3aced73', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851a4901ca8bfde6d04c3aced73', 'height': 64, 'width': 64}]",ariana greny,artist,spotify:artist:3ga5L7qMI06NaxNFj1rIWa,https://open.spotify.com/artist/3ga5L7qMI06NaxNFj1rIWa
https://api.spotify.com/v1/artists/3dGXfe8udOucV0XcYfzvcH,3dGXfe8udOucV0XcYfzvcH,[],Ariana,artist,spotify:artist:3dGXfe8udOucV0XcYfzvcH,https://open.spotify.com/artist/3dGXfe8udOucV0XcYfzvcH
