href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/1OwarW4LEHnoep20ixRA0y,1OwarW4LEHnoep20ixRA0y,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebfa79a501274aae1d9de3a201', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174fa79a501274aae1d9de3a201', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178fa79a501274aae1d9de3a201', 'height': 160, 'width': 160}]",Robert Plant,artist,spotify:artist:1OwarW4LEHnoep20ixRA0y,https://open.spotify.com/artist/1OwarW4LEHnoep20ixRA0y
https://api.spotify.com/v1/artists/6j1OhNIl1C0rT2XZugn2BV,6j1OhNIl1C0rT2XZugn2BV,"[{'url': 'https://i.scdn.co/image/ab67616d0000b27353f919f62db9b2e3625d788a', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02f6c1e17ede7782c3299e6515', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851f6c1e17ede7782c3299e6515', 'height': 64, 'width': 64}]",Jude Paulla,artist,spotify:artist:6j1OhNIl1C0rT2XZugn2BV,https://open.spotify.com/artist/6j1OhNIl1C0rT2XZugn2BV
https://api.spotify.com/v1/artists/36QJpDe2go2KgaRleHCDTp,36QJpDe2go2KgaRleHCDTp,"[{'url': 'https://i.scdn.co/image/207803ce008388d3427a685254f9de6a8f61dc2e', 'height': 600, 'width': 600}, {'url': 'https://i.scdn.co/image/b0248a44865493e6a03832aa89854ada16ff07a8', 'height': 200, 'width': 200}, {'url': 'https://i.scdn.co/image/16eb3cdae0d824b520ac17710e943a99d3ef6602', 'height': 64, 'width': 64}]",Led Zeppelin,artist,spotify:artist:36QJpDe2go2KgaRleHCDTp,https://open.spotify.com/artist/36QJpDe2go2KgaRleHCDTp
https://api.spotify.com/v1/artists/3qm84nBOXUEQ2vnTfUTTFC,3qm84nBOXUEQ2vnTfUTTFC,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb50defaf9fc059a1efc541f4c', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517450defaf9fc059a1efc541f4c', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17850defaf9fc059a1efc541f4c', 'height': 160, 'width': 160}]",Guns N' Roses,artist,spotify:artist:3qm84nBOXUEQ2vnTfUTTFC,https://open.spotify.com/artist/3qm84nBOXUEQ2vnTfUTTFC
https://api.spotify.com/v1/artists/0k17h0D3J5VfsdmQ1iZtE9,0k17h0D3J5VfsdmQ1iZtE9,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb3c9e8c67b087ba0cb5923b78', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051743c9e8c67b087ba0cb5923b78', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1783c9e8c67b087ba0cb5923b78', 'height': 160, 'width': 160}]",Pink Floyd,artist,spotify:artist:0k17h0D3J5VfsdmQ1iZtE9,https://open.spotify.com/artist/0k17h0D3J5VfsdmQ1iZtE9
https://api.spotify.com/v1/artists/55bGuHb50r5c0PeqqMeNBV,55bGuHb50r5c0PeqqMeNBV,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eba1fdfe123e8664bc7e3c79bb', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174a1fdfe123e8664bc7e3c79bb', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178a1fdfe123e8664bc7e3c79bb', 'height': 160, 'width': 160}]",Jimmy Page,artist,spotify:artist:55bGuHb50r5c0PeqqMeNBV,https://open.spotify.com/artist/55bGuHb50r5c0PeqqMeNBV
https://api.spotify.com/v1/artists/6fFcUOFcbjeIuEomuUthkw,6fFcUOFcbjeIuEomuUthkw,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebf8b90fcffca3c4e28564f0e3', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174f8b90fcffca3c4e28564f0e3', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178f8b90fcffca3c4e28564f0e3', 'height': 160, 'width': 160}]",Oklou,artist,spotify:artist:6fFcUOFcbjeIuEomuUthkw,https://open.spotify.com/artist/6fFcUOFcbjeIuEomuUthkw
https://api.spotify.com/v1/artists/5UOWTN9UCMBqscsRf9YDcV,5UOWTN9UCMBqscsRf9YDcV,"[{'url': 'https://i.scdn.co/image/ab67616d0000b27380822c2208bc00fd3f80577b', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e0280822c2208bc00fd3f80577b', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d0000485180822c2208bc00fd3f80577b', 'height': 64, 'width': 64}]",Robert Pantoja,artist,spotify:artist:5UOWTN9UCMBqscsRf9YDcV,https://open.spotify.com/artist/5UOWTN9UCMBqscsRf9YDcV
https://api.spotify.com/v1/artists/2NhM5M2aRw13ckRRoSEnyu,2NhM5M2aRw13ckRRoSEnyu,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebdc5258c436dbf54f11376d54', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174dc5258c436dbf54f11376d54', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178dc5258c436dbf54f11376d54', 'height': 160, 'width': 160}]",Robert Anton Strobel,artist,spotify:artist:2NhM5M2aRw13ckRRoSEnyu,https://open.spotify.com/artist/2NhM5M2aRw13ckRRoSEnyu
https://api.spotify.com/v1/artists/4F9stJgctKH0bQc4JPmgfd,4F9stJgctKH0bQc4JPmgfd,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebd58887bd363eb03eca507c99', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174d58887bd363eb03eca507c99', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178d58887bd363eb03eca507c99', 'height': 160, 'width': 160}]",Robert Pater,artist,spotify:artist:4F9stJgctKH0bQc4JPmgfd,https://open.spotify.com/artist/4F9stJgctKH0bQc4JPmgfd
