href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/6eUKZXaKkcviH0Ku9w2n3V,6eUKZXaKkcviH0Ku9w2n3V,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebd55c95ad400aed87da52daec', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174d55c95ad400aed87da52daec', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178d55c95ad400aed87da52daec', 'height': 160, 'width': 160}]",Ed Sheeran,artist,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,https://open.spotify.com/artist/6eUKZXaKkcviH0Ku9w2n3V
https://api.spotify.com/v1/artists/0du5cEVh5yTK9QJze8zA0C,0du5cEVh5yTK9QJze8zA0C,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebc7688aad1bf03986934d7e26', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174c7688aad1bf03986934d7e26', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178c7688aad1bf03986934d7e26', 'height': 160, 'width': 160}]",Bruno Mars,artist,spotify:artist:0du5cEVh5yTK9QJze8zA0C,https://open.spotify.com/artist/0du5cEVh5yTK9QJze8zA0C
https://api.spotify.com/v1/artists/7n2wHs1TKAczGzO7Dd2rGr,7n2wHs1TKAczGzO7Dd2rGr,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb58b4b9419486550f6fda0535', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517458b4b9419486550f6fda0535', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17858b4b9419486550f6fda0535', 'height': 160, 'width': 160}]",Shawn Mendes,artist,spotify:artist:7n2wHs1TKAczGzO7Dd2rGr,https://open.spotify.com/artist/7n2wHs1TKAczGzO7Dd2rGr
https://api.spotify.com/v1/artists/4dpARuHxo51G3z768sgnrY,4dpARuHxo51G3z768sgnrY,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb68f6e5892075d7f22615bd17', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517468f6e5892075d7f22615bd17', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17868f6e5892075d7f22615bd17', 'height': 160, 'width': 160}]",Adele,artist,spotify:artist:4dpARuHxo51G3z768sgnrY,https://open.spotify.com/artist/4dpARuHxo51G3z768sgnrY
https://api.spotify.com/v1/artists/3qvcCP2J0fWi0m0uQDUf6r,3qvcCP2J0fWi0m0uQDUf6r,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb28a25297f5580906f6be7b79', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517428a25297f5580906f6be7b79', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17828a25297f5580906f6be7b79', 'height': 160, 'width': 160}]",Luan Santana,artist,spotify:artist:3qvcCP2J0fWi0m0uQDUf6r,https://open.spotify.com/artist/3qvcCP2J0fWi0m0uQDUf6r
https://api.spotify.com/v1/artists/3Nrfpe0tUJi4K4DXYWgMUX,3Nrfpe0tUJi4K4DXYWgMUX,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebf80ec63ea7a0ef0fba60957d', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174f80ec63ea7a0ef0fba60957d', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178f80ec63ea7a0ef0fba60957d', 'height': 160, 'width': 160}]",BTS,artist,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX,https://open.spotify.com/artist/3Nrfpe0tUJi4K4DXYWgMUX
https://api.spotify.com/v1/artists/3p7PcrEHaaKLJnPUGOtRlT,3p7PcrEHaaKLJnPUGOtRlT,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb30f0dc81183daaee971c2601', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517430f0dc81183daaee971c2601', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17830f0dc81183daaee971c2601', 'height': 160, 'width': 160}]",Henrique & Juliano,artist,spotify:artist:3p7PcrEHaaKLJnPUGOtRlT,https://open.spotify.com/artist/3p7PcrEHaaKLJnPUGOtRlT
https://api.spotify.com/v1/artists/1WsYCXdezMjn0KoIrLvMmC,1WsYCXdezMjn0KoIrLvMmC,[],Ed Sheeran & Justin Bieber,artist,spotify:artist:1WsYCXdezMjn0KoIrLvMmC,https://open.spotify.com/artist/1WsYCXdezMjn0KoIrLvMmC
https://api.spotify.com/v1/artists/1Z0WmCLR82kNDewi2fO9RD,1Z0WmCLR82kNDewi2fO9RD,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273562361f8b928d8f1927f0d6d', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02562361f8b928d8f1927f0d6d', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851562361f8b928d8f1927f0d6d', 'height': 64, 'width': 64}]",Ed Sheeran Piano Covers,artist,spotify:artist:1Z0WmCLR82kNDewi2fO9RD,https://open.spotify.com/artist/1Z0WmCLR82kNDewi2fO9RD
https://api.spotify.com/v1/artists/33TMePuoaglO2gkBOLa7E6,33TMePuoaglO2gkBOLa7E6,[],Edward Christopher Sheeran,artist,spotify:artist:33TMePuoaglO2gkBOLa7E6,https://open.spotify.com/artist/33TMePuoaglO2gkBOLa7E6
