href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/2wY79sveU1sp5g7SokKOiI,2wY79sveU1sp5g7SokKOiI,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb48179dd7f4c7dc49377846e0', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517448179dd7f4c7dc49377846e0', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17848179dd7f4c7dc49377846e0', 'height': 160, 'width': 160}]",Sam Smith,artist,spotify:artist:2wY79sveU1sp5g7SokKOiI,https://open.spotify.com/artist/2wY79sveU1sp5g7SokKOiI
https://api.spotify.com/v1/artists/6eUKZXaKkcviH0Ku9w2n3V,6eUKZXaKkcviH0Ku9w2n3V,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebd55c95ad400aed87da52daec', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174d55c95ad400aed87da52daec', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178d55c95ad400aed87da52daec', 'height': 160, 'width': 160}]",Ed Sheeran,artist,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,https://open.spotify.com/artist/6eUKZXaKkcviH0Ku9w2n3V
https://api.spotify.com/v1/artists/4dpARuHxo51G3z768sgnrY,4dpARuHxo51G3z768sgnrY,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb68f6e5892075d7f22615bd17', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517468f6e5892075d7f22615bd17', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17868f6e5892075d7f22615bd17', 'height': 160, 'width': 160}]",Adele,artist,spotify:artist:4dpARuHxo51G3z768sgnrY,https://open.spotify.com/artist/4dpARuHxo51G3z768sgnrY
https://api.spotify.com/v1/artists/33qOK5uJ8AR2xuQQAhHump,33qOK5uJ8AR2xuQQAhHump,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb36eb08698aa7794372c97b97', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517436eb08698aa7794372c97b97', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17836eb08698aa7794372c97b97', 'height': 160, 'width': 160}]",Teddy Swims,artist,spotify:artist:33qOK5uJ8AR2xuQQAhHump,https://open.spotify.com/artist/33qOK5uJ8AR2xuQQAhHump
https://api.spotify.com/v1/artists/5wbf52LA6kcaboHSN6NEF1,5wbf52LA6kcaboHSN6NEF1,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb034bc070c2bfa742a1e788ff', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174034bc070c2bfa742a1e788ff', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178034bc070c2bfa742a1e788ff', 'height': 160, 'width': 160}]",PEDRO SAMPAIO,artist,spotify:artist:5wbf52LA6kcaboHSN6NEF1,https://open.spotify.com/artist/5wbf52LA6kcaboHSN6NEF1
https://api.spotify.com/v1/artists/7FNnA9vBm6EKceENgCGRMb,7FNnA9vBm6EKceENgCGRMb,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb777419bf9a701a78fdd6515f', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174777419bf9a701a78fdd6515f', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178777419bf9a701a78fdd6515f', 'height': 160, 'width': 160}]",Anitta,artist,spotify:artist:7FNnA9vBm6EKceENgCGRMb,https://open.spotify.com/artist/7FNnA9vBm6EKceENgCGRMb
https://api.spotify.com/v1/artists/4kNHs1OvhTfdpGPt7QslOG,4kNHs1OvhTfdpGPt7QslOG,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273c9cd1c881441c1a2674a8003', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02c9cd1c881441c1a2674a8003', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851c9cd1c881441c1a2674a8003', 'height': 64, 'width': 64}]",Sam Smith,artist,spotify:artist:4kNHs1OvhTfdpGPt7QslOG,https://open.spotify.com/artist/4kNHs1OvhTfdpGPt7QslOG
https://api.spotify.com/v1/artists/5kZDCAD5zLelf8NYHoRSHS,5kZDCAD5zLelf8NYHoRSHS,"[{'url': 'https://i.scdn.co/image/ab67616d0000b27312a37812493232ad634e7d35', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e0212a37812493232ad634e7d35', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d0000485112a37812493232ad634e7d35', 'height': 64, 'width': 64}]",Sammi Smith,artist,spotify:artist:5kZDCAD5zLelf8NYHoRSHS,https://open.spotify.com/artist/5kZDCAD5zLelf8NYHoRSHS
https://api.spotify.com/v1/artists/1yR65psqiazQpeM79CcGh8,1yR65psqiazQpeM79CcGh8,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb491afb1b9216fe1245f6e645', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174491afb1b9216fe1245f6e645', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178491afb1b9216fe1245f6e645', 'height': 160, 'width': 160}]",Marília Mendonça,artist,spotify:artist:1yR65psqiazQpeM79CcGh8,https://open.spotify.com/artist/1yR65psqiazQpeM79CcGh8
https://api.spotify.com/v1/artists/5GXruybcLmXPjR9rKKFyS6,5GXruybcLmXPjR9rKKFyS6,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb6c3dfd0a4ae3804d6b07fafb', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051746c3dfd0a4ae3804d6b07fafb', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1786c3dfd0a4ae3804d6b07fafb', 'height': 160, 'width': 160}]",Jimmy Smith,artist,spotify:artist:5GXruybcLmXPjR9rKKFyS6,https://open.spotify.com/artist/5GXruybcLmXPjR9rKKFyS6
https://api.spotify.com/v1/artists/4IWBUUAFIplrNtaOHcJPRM,4IWBUUAFIplrNtaOHcJPRM,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb5a55e66595e80fb12dc5f5fa', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051745a55e66595e80fb12dc5f5fa', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1785a55e66595e80fb12dc5f5fa', 'height': 160, 'width': 160}]",James Arthur,artist,spotify:artist:4IWBUUAFIplrNtaOHcJPRM,https://open.spotify.com/artist/4IWBUUAFIplrNtaOHcJPRM
https://api.spotify.com/v1/artists/7n2wHs1TKAczGzO7Dd2rGr,7n2wHs1TKAczGzO7Dd2rGr,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb58b4b9419486550f6fda0535', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517458b4b9419486550f6fda0535', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17858b4b9419486550f6fda0535', 'height': 160, 'width': 160}]",Shawn Mendes,artist,spotify:artist:7n2wHs1TKAczGzO7Dd2rGr,https://open.spotify.com/artist/7n2wHs1TKAczGzO7Dd2rGr
https://api.spotify.com/v1/artists/5y2Xq6xcjJb2jVM54GHK3t,5y2Xq6xcjJb2jVM54GHK3t,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb17510421a3d87ada21397a1f', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517417510421a3d87ada21397a1f', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17817510421a3d87ada21397a1f', 'height': 160, 'width': 160}]",John Legend,artist,spotify:artist:5y2Xq6xcjJb2jVM54GHK3t,https://open.spotify.com/artist/5y2Xq6xcjJb2jVM54GHK3t
https://api.spotify.com/v1/artists/2CKOmarVWvWqkNWUatHCex,2CKOmarVWvWqkNWUatHCex,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb893d346288179a0ba471acc9', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174893d346288179a0ba471acc9', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178893d346288179a0ba471acc9', 'height': 160, 'width': 160}]",Ana Castela,artist,spotify:artist:2CKOmarVWvWqkNWUatHCex,https://open.spotify.com/artist/2CKOmarVWvWqkNWUatHCex
https://api.spotify.com/v1/artists/3qvcCP2J0fWi0m0uQDUf6r,3qvcCP2J0fWi0m0uQDUf6r,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb28a25297f5580906f6be7b79', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517428a25297f5580906f6be7b79', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17828a25297f5580906f6be7b79', 'height': 160, 'width': 160}]",Luan Santana,artist,spotify:artist:3qvcCP2J0fWi0m0uQDUf6r,https://open.spotify.com/artist/3qvcCP2J0fWi0m0uQDUf6r
https://api.spotify.com/v1/artists/6nS5roXSAGhTGr34W6n7Et,6nS5roXSAGhTGr34W6n7Et,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb0b084ede947f009beade9a6a', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051740b084ede947f009beade9a6a', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1780b084ede947f009beade9a6a', 'height': 160, 'width': 160}]",Disclosure,artist,spotify:artist:6nS5roXSAGhTGr34W6n7Et,https://open.spotify.com/artist/6nS5roXSAGhTGr34W6n7Et
https://api.spotify.com/v1/artists/5qEZAHDykjH5AeV9NZ9KLD,5qEZAHDykjH5AeV9NZ9KLD,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273a3ed9456bec437e4aa07c503', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02a3ed9456bec437e4aa07c503', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851a3ed9456bec437e4aa07c503', 'height': 64, 'width': 64}]",Samantha Smith,artist,spotify:artist:5qEZAHDykjH5AeV9NZ9KLD,https://open.spotify.com/artist/5qEZAHDykjH5AeV9NZ9KLD
https://api.spotify.com/v1/artists/3CDoRporvSjdzTrm99a3gi,3CDoRporvSjdzTrm99a3gi,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb7635220f042a75ef8b4ffde9', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051747635220f042a75ef8b4ffde9', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1787635220f042a75ef8b4ffde9', 'height': 160, 'width': 160}]",LUDMILLA,artist,spotify:artist:3CDoRporvSjdzTrm99a3gi,https://open.spotify.com/artist/3CDoRporvSjdzTrm99a3gi
https://api.spotify.com/v1/artists/3UX79kbvgAEhCSbA8HVv7W,3UX79kbvgAEhCSbA8HVv7W,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebd22758e772222c88c9bd27aa', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174d22758e772222c88c9bd27aa', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178d22758e772222c88c9bd27aa', 'height': 160, 'width': 160}]",Kenzie Smith Piano,artist,spotify:artist:3UX79kbvgAEhCSbA8HVv7W,https://open.spotify.com/artist/3UX79kbvgAEhCSbA8HVv7W
https://api.spotify.com/v1/artists/6ECXT7Ar8zabGnqHQUWmtc,6ECXT7Ar8zabGnqHQUWmtc,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273077d7327efcf5c4d539e7efb', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02077d7327efcf5c4d539e7efb', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851077d7327efcf5c4d539e7efb', 'height': 64, 'width': 64}]",โอ๊ค สมิทธิ์,artist,spotify:artist:6ECXT7Ar8zabGnqHQUWmtc,https://open.spotify.com/artist/6ECXT7Ar8zabGnqHQUWmtc
https://api.spotify.com/v1/artists/04gDigrS5kc9YWfZHwBETP,04gDigrS5kc9YWfZHwBETP,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebf8349dfb619a7f842242de77', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174f8349dfb619a7f842242de77', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178f8349dfb619a7f842242de77', 'height': 160, 'width': 160}]",Maroon 5,artist,spotify:artist:04gDigrS5kc9YWfZHwBETP,https://open.spotify.com/artist/04gDigrS5kc9YWfZHwBETP
