href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/3DiDSECUqqY1AuBP8qtaIa,3DiDSECUqqY1AuBP8qtaIa,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb4518cf16a45e35fc0cc82862', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051744518cf16a45e35fc0cc82862', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1784518cf16a45e35fc0cc82862', 'height': 160, 'width': 160}]",Alicia Keys,artist,spotify:artist:3DiDSECUqqY1AuBP8qtaIa,https://open.spotify.com/artist/3DiDSECUqqY1AuBP8qtaIa
https://api.spotify.com/v1/artists/4dpARuHxo51G3z768sgnrY,4dpARuHxo51G3z768sgnrY,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb68f6e5892075d7f22615bd17', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517468f6e5892075d7f22615bd17', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17868f6e5892075d7f22615bd17', 'height': 160, 'width': 160}]",Adele,artist,spotify:artist:4dpARuHxo51G3z768sgnrY,https://open.spotify.com/artist/4dpARuHxo51G3z768sgnrY
https://api.spotify.com/v1/artists/4iHNK0tOyZPYnBU7nGAgpQ,4iHNK0tOyZPYnBU7nGAgpQ,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebd0a27777aaeb1725add6ace8', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174d0a27777aaeb1725add6ace8', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178d0a27777aaeb1725add6ace8', 'height': 160, 'width': 160}]",Mariah Carey,artist,spotify:artist:4iHNK0tOyZPYnBU7nGAgpQ,https://open.spotify.com/artist/4iHNK0tOyZPYnBU7nGAgpQ
https://api.spotify.com/v1/artists/6XpaIBNiVzIetEPCWDvAFP,6XpaIBNiVzIetEPCWDvAFP,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebcd9f60ab57585bf3b77ecc51', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174cd9f60ab57585bf3b77ecc51', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178cd9f60ab57585bf3b77ecc51', 'height': 160, 'width': 160}]",Whitney Houston,artist,spotify:artist:6XpaIBNiVzIetEPCWDvAFP,https://open.spotify.com/artist/6XpaIBNiVzIetEPCWDvAFP
https://api.spotify.com/v1/artists/21E3waRsmPlU7jZsS13rcj,21E3waRsmPlU7jZsS13rcj,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebca118e3822061f7b7f6bc537', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174ca118e3822061f7b7f6bc537', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178ca118e3822061f7b7f6bc537', 'height': 160, 'width': 160}]",Ne-Yo,artist,spotify:artist:21E3waRsmPlU7jZsS13rcj,https://open.spotify.com/artist/21E3waRsmPlU7jZsS13rcj
https://api.spotify.com/v1/artists/5ZfBThYiIIhL7jHMG8gDB2,5ZfBThYiIIhL7jHMG8gDB2,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebef13995944eea605a0a7a9e1', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174ef13995944eea605a0a7a9e1', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178ef13995944eea605a0a7a9e1', 'height': 160, 'width': 160}]",Ferrugem,artist,spotify:artist:5ZfBThYiIIhL7jHMG8gDB2,https://open.spotify.com/artist/5ZfBThYiIIhL7jHMG8gDB2
https://api.spotify.com/v1/artists/4WXfrgBf98CBCLMQuoJBIq,4WXfrgBf98CBCLMQuoJBIq,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273ca861275d4497d4643f1b74f', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02ca861275d4497d4643f1b74f', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851ca861275d4497d4643f1b74f', 'height': 64, 'width': 64}]",Alicia Keysa,artist,spotify:artist:4WXfrgBf98CBCLMQuoJBIq,https://open.spotify.com/artist/4WXfrgBf98CBCLMQuoJBIq
https://api.spotify.com/v1/artists/4rY1r047Kp9NhePRYln96V,4rY1r047Kp9NhePRYln96V,"[{'url': 'https://i.scdn.co/image/ab67616d0000b27347335d72151c99db2146802d', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e0247335d72151c99db2146802d', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d0000485147335d72151c99db2146802d', 'height': 64, 'width': 64}]",Alicia West,artist,spotify:artist:4rY1r047Kp9NhePRYln96V,https://open.spotify.com/artist/4rY1r047Kp9NhePRYln96V
https://api.spotify.com/v1/artists/71y4EU05sUgVOAoGr23zA4,71y4EU05sUgVOAoGr23zA4,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273d9c7defd35c0a0fc3872f5f2', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02d9c7defd35c0a0fc3872f5f2', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851d9c7defd35c0a0fc3872f5f2', 'height': 64, 'width': 64}]",Alicia Dessendre,artist,spotify:artist:71y4EU05sUgVOAoGr23zA4,https://open.spotify.com/artist/71y4EU05sUgVOAoGr23zA4
https://api.spotify.com/v1/artists/0NGAZxHanS9e0iNHpR8f2W,0NGAZxHanS9e0iNHpR8f2W,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb6b07a040a57d013a7e49f908', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051746b07a040a57d013a7e49f908', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1786b07a040a57d013a7e49f908', 'height': 160, 'width': 160}]",Alok,artist,spotify:artist:0NGAZxHanS9e0iNHpR8f2W,https://open.spotify.com/artist/0NGAZxHanS9e0iNHpR8f2W
