href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/23zg3TcAtWQy7J6upgbUnj,23zg3TcAtWQy7J6upgbUnj,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebb13684907cd609d10d41f0b8', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174b13684907cd609d10d41f0b8', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178b13684907cd609d10d41f0b8', 'height': 160, 'width': 160}]",USHER,artist,spotify:artist:23zg3TcAtWQy7J6upgbUnj,https://open.spotify.com/artist/23zg3TcAtWQy7J6upgbUnj
https://api.spotify.com/v1/artists/21E3waRsmPlU7jZsS13rcj,21E3waRsmPlU7jZsS13rcj,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebca118e3822061f7b7f6bc537', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174ca118e3822061f7b7f6bc537', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178ca118e3822061f7b7f6bc537', 'height': 160, 'width': 160}]",Ne-Yo,artist,spotify:artist:21E3waRsmPlU7jZsS13rcj,https://open.spotify.com/artist/21E3waRsmPlU7jZsS13rcj
https://api.spotify.com/v1/artists/7bXgB6jMjp9ATFy66eO08Z,7bXgB6jMjp9ATFy66eO08Z,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb01513fbafb66a3ca4f28b299', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517401513fbafb66a3ca4f28b299', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17801513fbafb66a3ca4f28b299', 'height': 160, 'width': 160}]",Chris Brown,artist,spotify:artist:7bXgB6jMjp9ATFy66eO08Z,https://open.spotify.com/artist/7bXgB6jMjp9ATFy66eO08Z
https://api.spotify.com/v1/artists/0z4gvV4rjIZ9wHck67ucSV,0z4gvV4rjIZ9wHck67ucSV,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb3adb5ae14cf81ab05cf3a9e5', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051743adb5ae14cf81ab05cf3a9e5', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1783adb5ae14cf81ab05cf3a9e5', 'height': 160, 'width': 160}]",Akon,artist,spotify:artist:0z4gvV4rjIZ9wHck67ucSV,https://open.spotify.com/artist/0z4gvV4rjIZ9wHck67ucSV
https://api.spotify.com/v1/artists/31TPClRtHm23RisEBtV3X7,31TPClRtHm23RisEBtV3X7,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb7a5cfe2597665a3d160e805e', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051747a5cfe2597665a3d160e805e', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1787a5cfe2597665a3d160e805e', 'height': 160, 'width': 160}]",Justin Timberlake,artist,spotify:artist:31TPClRtHm23RisEBtV3X7,https://open.spotify.com/artist/31TPClRtHm23RisEBtV3X7
https://api.spotify.com/v1/artists/2gBjLmx6zQnFGQJCAQpRgw,2gBjLmx6zQnFGQJCAQpRgw,"[{'url': 'https://i.scdn.co/image/ab6772690000c46cffdb43fbb983b2c991cc3685', 'height': 1000, 'width': 1000}, {'url': 'https://i.scdn.co/image/ab6772690000dd22ffdb43fbb983b2c991cc3685', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6772690000bac3ffdb43fbb983b2c991cc3685', 'height': 200, 'width': 200}, {'url': 'https://i.scdn.co/image/ab67726900008f74ffdb43fbb983b2c991cc3685', 'height': 64, 'width': 64}]",Nelly,artist,spotify:artist:2gBjLmx6zQnFGQJCAQpRgw,https://open.spotify.com/artist/2gBjLmx6zQnFGQJCAQpRgw
https://api.spotify.com/v1/artists/66Q9dkZ7EXdwU2h6tEkUdC,66Q9dkZ7EXdwU2h6tEkUdC,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebbb7debbd73499b3a1d41a0a9', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174bb7debbd73499b3a1d41a0a9', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178bb7debbd73499b3a1d41a0a9', 'height': 160, 'width': 160}]",Isabèl Usher,artist,spotify:artist:66Q9dkZ7EXdwU2h6tEkUdC,https://open.spotify.com/artist/66Q9dkZ7EXdwU2h6tEkUdC
https://api.spotify.com/v1/artists/1BKrljKS2AYhaHyv4swGme,1BKrljKS2AYhaHyv4swGme,"[{'url': 'https://i.scdn.co/image/ab67616d0000b27324d86867fe61c3e2aa6facbf', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e0224d86867fe61c3e2aa6facbf', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d0000485124d86867fe61c3e2aa6facbf', 'height': 64, 'width': 64}]",USHER,artist,spotify:artist:1BKrljKS2AYhaHyv4swGme,https://open.spotify.com/artist/1BKrljKS2AYhaHyv4swGme
https://api.spotify.com/v1/artists/35vO0saL5fa8nPMZqdYV1m,35vO0saL5fa8nPMZqdYV1m,[],USHER,artist,spotify:artist:35vO0saL5fa8nPMZqdYV1m,https://open.spotify.com/artist/35vO0saL5fa8nPMZqdYV1m
https://api.spotify.com/v1/artists/3xs0A3tgBWKSKs9lGhqmfL,3xs0A3tgBWKSKs9lGhqmfL,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb27aff9e89dc83eb78385515c', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517427aff9e89dc83eb78385515c', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17827aff9e89dc83eb78385515c', 'height': 160, 'width': 160}]",David Usher,artist,spotify:artist:3xs0A3tgBWKSKs9lGhqmfL,https://open.spotify.com/artist/3xs0A3tgBWKSKs9lGhqmfL
https://api.spotify.com/v1/artists/3DiDSECUqqY1AuBP8qtaIa,3DiDSECUqqY1AuBP8qtaIa,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb4518cf16a45e35fc0cc82862', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051744518cf16a45e35fc0cc82862', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1784518cf16a45e35fc0cc82862', 'height': 160, 'width': 160}]",Alicia Keys,artist,spotify:artist:3DiDSECUqqY1AuBP8qtaIa,https://open.spotify.com/artist/3DiDSECUqqY1AuBP8qtaIa
https://api.spotify.com/v1/artists/0dxYJ63zPwIOMTe8HyeNmE,0dxYJ63zPwIOMTe8HyeNmE,"[{'url': 'https://i.scdn.co/image/ab67616d0000b27329f411c33ac33d790815a14c', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e0229f411c33ac33d790815a14c', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d0000485129f411c33ac33d790815a14c', 'height': 64, 'width': 64}]",Kenya Usher,artist,spotify:artist:0dxYJ63zPwIOMTe8HyeNmE,https://open.spotify.com/artist/0dxYJ63zPwIOMTe8HyeNmE
https://api.spotify.com/v1/artists/5awZEX7qxWLEzlVs9DaDBq,5awZEX7qxWLEzlVs9DaDBq,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb3a6d0e80794ac5af13e00f29', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051743a6d0e80794ac5af13e00f29', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1783a6d0e80794ac5af13e00f29', 'height': 160, 'width': 160}]",Usher Rowland,artist,spotify:artist:5awZEX7qxWLEzlVs9DaDBq,https://open.spotify.com/artist/5awZEX7qxWLEzlVs9DaDBq
https://api.spotify.com/v1/artists/2Q35c0AC0frGZjMrOM72uw,2Q35c0AC0frGZjMrOM72uw,"[{'url': 'https://i.scdn.co/image/ab67616d0000b27310e37b09aa0f320b5eb6c57d', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e0210e37b09aa0f320b5eb6c57d', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d0000485110e37b09aa0f320b5eb6c57d', 'height': 64, 'width': 64}]",Usher Rano,artist,spotify:artist:2Q35c0AC0frGZjMrOM72uw,https://open.spotify.com/artist/2Q35c0AC0frGZjMrOM72uw
https://api.spotify.com/v1/artists/1NlRCyGFtpOfbPHURydXaz,1NlRCyGFtpOfbPHURydXaz,"[{'url': 'https://i.scdn.co/image/ab67616d0000b2736fb236b54bbfe7e4157e71a4', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e026fb236b54bbfe7e4157e71a4', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d000048516fb236b54bbfe7e4157e71a4', 'height': 64, 'width': 64}]",Al Usher,artist,spotify:artist:1NlRCyGFtpOfbPHURydXaz,https://open.spotify.com/artist/1NlRCyGFtpOfbPHURydXaz
https://api.spotify.com/v1/artists/7yUKCEfjUmCjLtl0qCpWrS,7yUKCEfjUmCjLtl0qCpWrS,[],Usher Vəro,artist,spotify:artist:7yUKCEfjUmCjLtl0qCpWrS,https://open.spotify.com/artist/7yUKCEfjUmCjLtl0qCpWrS
https://api.spotify.com/v1/artists/4gIcuWexKmrtKPjBx8f0gs,4gIcuWexKmrtKPjBx8f0gs,[],Jessie T. Usher,artist,spotify:artist:4gIcuWexKmrtKPjBx8f0gs,https://open.spotify.com/artist/4gIcuWexKmrtKPjBx8f0gs
https://api.spotify.com/v1/artists/7CLR6x8JczpFan8ZsJ73qi,7CLR6x8JczpFan8ZsJ73qi,"[{'url': 'https://i.scdn.co/image/ab67616d0000b27354590748fb5651e1002d87f8', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e0254590748fb5651e1002d87f8', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d0000485154590748fb5651e1002d87f8', 'height': 64, 'width': 64}]",Txarly Usher,artist,spotify:artist:7CLR6x8JczpFan8ZsJ73qi,https://open.spotify.com/artist/7CLR6x8JczpFan8ZsJ73qi
https://api.spotify.com/v1/artists/1qwO6Qzw4TAoAdePpNi7vV,1qwO6Qzw4TAoAdePpNi7vV,"[{'url': 'https://i.scdn.co/image/ab67616d0000b2732f2c2e38759d3898cffd9a61', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e022f2c2e38759d3898cffd9a61', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d000048512f2c2e38759d3898cffd9a61', 'height': 64, 'width': 64}]",Ushirokarahaiyoritai G,artist,spotify:artist:1qwO6Qzw4TAoAdePpNi7vV,https://open.spotify.com/artist/1qwO6Qzw4TAoAdePpNi7vV
