href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/4qwGe91Bz9K2T8jXTZ815W,4qwGe91Bz9K2T8jXTZ815W,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb8b290c36cbc9e89827ff562a', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051748b290c36cbc9e89827ff562a', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1788b290c36cbc9e89827ff562a', 'height': 160, 'width': 160}]",Janet Jackson,artist,spotify:artist:4qwGe91Bz9K2T8jXTZ815W,https://open.spotify.com/artist/4qwGe91Bz9K2T8jXTZ815W
https://api.spotify.com/v1/artists/2CJdnZNDpgUZXPcb0job3V,2CJdnZNDpgUZXPcb0job3V,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273eeac763c5530d1d84047e388', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02eeac763c5530d1d84047e388', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851eeac763c5530d1d84047e388', 'height': 64, 'width': 64}]",La Toya Jackson,artist,spotify:artist:2CJdnZNDpgUZXPcb0job3V,https://open.spotify.com/artist/2CJdnZNDpgUZXPcb0job3V
https://api.spotify.com/v1/artists/3fMbdgg4jU18AjLCKBhRSm,3fMbdgg4jU18AjLCKBhRSm,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb997cc9a4aec335d46c9481fd', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174997cc9a4aec335d46c9481fd', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178997cc9a4aec335d46c9481fd', 'height': 160, 'width': 160}]",Michael Jackson,artist,spotify:artist:3fMbdgg4jU18AjLCKBhRSm,https://open.spotify.com/artist/3fMbdgg4jU18AjLCKBhRSm
https://api.spotify.com/v1/artists/1VDurPMbOKrNU8mcMP4X1P,1VDurPMbOKrNU8mcMP4X1P,"[{'url': 'https://i.scdn.co/image/a5b575d7d570111d947eac7724b3544717f575ea', 'height': 1278, 'width': 1000}, {'url': 'https://i.scdn.co/image/6f9be1a6502e63234de68cf2795f3d466e06bc25', 'height': 818, 'width': 640}, {'url': 'https://i.scdn.co/image/5f40a9eff9f28da605ad73e80dcef2ab274f1c1a', 'height': 256, 'width': 200}, {'url': 'https://i.scdn.co/image/8abb41a669974c26f14dbcb6e52e52f4c11e209f', 'height': 82, 'width': 64}]",Jermaine Jackson,artist,spotify:artist:1VDurPMbOKrNU8mcMP4X1P,https://open.spotify.com/artist/1VDurPMbOKrNU8mcMP4X1P
https://api.spotify.com/v1/artists/4iHNK0tOyZPYnBU7nGAgpQ,4iHNK0tOyZPYnBU7nGAgpQ,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebd0a27777aaeb1725add6ace8', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174d0a27777aaeb1725add6ace8', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178d0a27777aaeb1725add6ace8', 'height': 160, 'width': 160}]",Mariah Carey,artist,spotify:artist:4iHNK0tOyZPYnBU7nGAgpQ,https://open.spotify.com/artist/4iHNK0tOyZPYnBU7nGAgpQ
https://api.spotify.com/v1/artists/6wQk8KLWLIPHyqCQC7U1pO,6wQk8KLWLIPHyqCQC7U1pO,[],Janet Jackson Witman,artist,spotify:artist:6wQk8KLWLIPHyqCQC7U1pO,https://open.spotify.com/artist/6wQk8KLWLIPHyqCQC7U1pO
https://api.spotify.com/v1/artists/6tbjWDEIzxoDsBA1FuhfPW,6tbjWDEIzxoDsBA1FuhfPW,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebed2208b41d49ebd24687985b', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174ed2208b41d49ebd24687985b', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178ed2208b41d49ebd24687985b', 'height': 160, 'width': 160}]",Madonna,artist,spotify:artist:6tbjWDEIzxoDsBA1FuhfPW,https://open.spotify.com/artist/6tbjWDEIzxoDsBA1FuhfPW
https://api.spotify.com/v1/artists/25KwDwHDLyJ66q22xpnLQ4,25KwDwHDLyJ66q22xpnLQ4,[],Janet Jackson Beily,artist,spotify:artist:25KwDwHDLyJ66q22xpnLQ4,https://open.spotify.com/artist/25KwDwHDLyJ66q22xpnLQ4
https://api.spotify.com/v1/artists/5zKssMoYEqq7OP3TilTJk1,5zKssMoYEqq7OP3TilTJk1,[],Joni Mitchell Janet Jackson,artist,spotify:artist:5zKssMoYEqq7OP3TilTJk1,https://open.spotify.com/artist/5zKssMoYEqq7OP3TilTJk1
https://api.spotify.com/v1/artists/23yoKHmmp0zD7H4rvdAB25,23yoKHmmp0zD7H4rvdAB25,[],Janet Jackson Smooth Jazz Tributes 20 Years,artist,spotify:artist:23yoKHmmp0zD7H4rvdAB25,https://open.spotify.com/artist/23yoKHmmp0zD7H4rvdAB25
