href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/3pO5VjZ4wOHCMBXOvbMISG,3pO5VjZ4wOHCMBXOvbMISG,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb18561c395151b4ab0e3c17ee', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517418561c395151b4ab0e3c17ee', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17818561c395151b4ab0e3c17ee', 'height': 160, 'width': 160}]",Antônio Carlos Jobim,artist,spotify:artist:3pO5VjZ4wOHCMBXOvbMISG,https://open.spotify.com/artist/3pO5VjZ4wOHCMBXOvbMISG
https://api.spotify.com/v1/artists/6tOsSffQQIXmK8TqsDck8t,6tOsSffQQIXmK8TqsDck8t,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb1f33f0eccfef05940a1ef879', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051741f33f0eccfef05940a1ef879', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1781f33f0eccfef05940a1ef879', 'height': 160, 'width': 160}]",Chico Buarque,artist,spotify:artist:6tOsSffQQIXmK8TqsDck8t,https://open.spotify.com/artist/6tOsSffQQIXmK8TqsDck8t
https://api.spotify.com/v1/artists/2RobGSOWL2xUWx6OOE0sS5,2RobGSOWL2xUWx6OOE0sS5,"[{'url': 'https://i.scdn.co/image/ab67616d0000b2732e727c83ff719c6a6d8a32cc', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e0205cc7d543c2998df02ac892f', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d0000485105cc7d543c2998df02ac892f', 'height': 64, 'width': 64}]",Tom Jobim,artist,spotify:artist:2RobGSOWL2xUWx6OOE0sS5,https://open.spotify.com/artist/2RobGSOWL2xUWx6OOE0sS5
https://api.spotify.com/v1/artists/7rPqFVgJYARiFsLDlN6W6y,7rPqFVgJYARiFsLDlN6W6y,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebd39ecd1d7ee10e47187910a9', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174d39ecd1d7ee10e47187910a9', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178d39ecd1d7ee10e47187910a9', 'height': 160, 'width': 160}]",Toquinho,artist,spotify:artist:7rPqFVgJYARiFsLDlN6W6y,https://open.spotify.com/artist/7rPqFVgJYARiFsLDlN6W6y
https://api.spotify.com/v1/artists/5HlnN6xF2MD87KhGRmCRTd,5HlnN6xF2MD87KhGRmCRTd,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebeaaeeb67f1f03b317e40306c', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174eaaeeb67f1f03b317e40306c', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178eaaeeb67f1f03b317e40306c', 'height': 160, 'width': 160}]",Vinícius de Moraes,artist,spotify:artist:5HlnN6xF2MD87KhGRmCRTd,https://open.spotify.com/artist/5HlnN6xF2MD87KhGRmCRTd
https://api.spotify.com/v1/artists/5JYtpnUKxAzXfHEYpOeeit,5JYtpnUKxAzXfHEYpOeeit,"[{'url': 'https://i.scdn.co/image/a9c6a324c5f4a0f25bc711a7c4434c89c05ceba2', 'height': 1000, 'width': 1000}, {'url': 'https://i.scdn.co/image/7f234b1e44539a169dd9e7f1372a87616d93f7dc', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/8de927ae02c5ecd038c643a8b1ea8fbe63bb8c85', 'height': 200, 'width': 200}, {'url': 'https://i.scdn.co/image/751ae07fb4d3f35265276c227fedd0630a47ecfa', 'height': 64, 'width': 64}]",Jorge Ben Jor,artist,spotify:artist:5JYtpnUKxAzXfHEYpOeeit,https://open.spotify.com/artist/5JYtpnUKxAzXfHEYpOeeit
https://api.spotify.com/v1/artists/7HGNYPmbDrMkylWqeFCOIQ,7HGNYPmbDrMkylWqeFCOIQ,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebcffb538293045411d2b51b8a', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174cffb538293045411d2b51b8a', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178cffb538293045411d2b51b8a', 'height': 160, 'width': 160}]",Caetano Veloso,artist,spotify:artist:7HGNYPmbDrMkylWqeFCOIQ,https://open.spotify.com/artist/7HGNYPmbDrMkylWqeFCOIQ
https://api.spotify.com/v1/artists/77ZUbcdoU5KCPHNUl8bgQy,77ZUbcdoU5KCPHNUl8bgQy,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebc18449a640fefd04cfe62359', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174c18449a640fefd04cfe62359', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178c18449a640fefd04cfe62359', 'height': 160, 'width': 160}]",João Gilberto,artist,spotify:artist:77ZUbcdoU5KCPHNUl8bgQy,https://open.spotify.com/artist/77ZUbcdoU5KCPHNUl8bgQy
https://api.spotify.com/v1/artists/4l7WRtjgTY2Tx0dAa6lcum,4l7WRtjgTY2Tx0dAa6lcum,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb63f1a15d0ea7a466a3b8e60e', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517463f1a15d0ea7a466a3b8e60e', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17863f1a15d0ea7a466a3b8e60e', 'height': 160, 'width': 160}]",Tom Jovem,artist,spotify:artist:4l7WRtjgTY2Tx0dAa6lcum,https://open.spotify.com/artist/4l7WRtjgTY2Tx0dAa6lcum
https://api.spotify.com/v1/artists/57YVY9QP1mhqc51WqHln0e,57YVY9QP1mhqc51WqHln0e,"[{'url': 'https://i.scdn.co/image/5df93e9f78f6139dde2cbf09d893bcf195722591', 'height': 1000, 'width': 1000}, {'url': 'https://i.scdn.co/image/577459fd780a9c70325bc6ef36732c90422b5ece', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/228b84e65957a29c79ce4ebb25c905bac667afda', 'height': 200, 'width': 200}, {'url': 'https://i.scdn.co/image/8f7f149d27120b16185d929e8b7059e702c115a9', 'height': 64, 'width': 64}]",Tom Robinson Band,artist,spotify:artist:57YVY9QP1mhqc51WqHln0e,https://open.spotify.com/artist/57YVY9QP1mhqc51WqHln0e
https://api.spotify.com/v1/artists/0yFvXd36g5sNKYDi0Kkvl8,0yFvXd36g5sNKYDi0Kkvl8,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb0fa315c76bb4539c6efa2966', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051740fa315c76bb4539c6efa2966', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1780fa315c76bb4539c6efa2966', 'height': 160, 'width': 160}]",Elis Regina,artist,spotify:artist:0yFvXd36g5sNKYDi0Kkvl8,https://open.spotify.com/artist/0yFvXd36g5sNKYDi0Kkvl8
https://api.spotify.com/v1/artists/1b8kpp4DUwt1hWaxTiWQhD,1b8kpp4DUwt1hWaxTiWQhD,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb9ba799363b79e9a73b2c303a', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051749ba799363b79e9a73b2c303a', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1789ba799363b79e9a73b2c303a', 'height': 160, 'width': 160}]",Gal Costa,artist,spotify:artist:1b8kpp4DUwt1hWaxTiWQhD,https://open.spotify.com/artist/1b8kpp4DUwt1hWaxTiWQhD
https://api.spotify.com/v1/artists/5rrmaoBXZ7Jcs4Qb77j0YA,5rrmaoBXZ7Jcs4Qb77j0YA,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebe699e9c224d7602835111180', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174e699e9c224d7602835111180', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178e699e9c224d7602835111180', 'height': 160, 'width': 160}]",Djavan,artist,spotify:artist:5rrmaoBXZ7Jcs4Qb77j0YA,https://open.spotify.com/artist/5rrmaoBXZ7Jcs4Qb77j0YA
https://api.spotify.com/v1/artists/7jLHlH6PMvXW8pMm2DqM33,7jLHlH6PMvXW8pMm2DqM33,[],Tom Jobim,artist,spotify:artist:7jLHlH6PMvXW8pMm2DqM33,https://open.spotify.com/artist/7jLHlH6PMvXW8pMm2DqM33
https://api.spotify.com/v1/artists/0WW0yfySE98cdNu8QILDsk,0WW0yfySE98cdNu8QILDsk,[],Tom Jobim,artist,spotify:artist:0WW0yfySE98cdNu8QILDsk,https://open.spotify.com/artist/0WW0yfySE98cdNu8QILDsk
https://api.spotify.com/v1/artists/6m4CUwovKJa83yVpwz6QyU,6m4CUwovKJa83yVpwz6QyU,[],Tom Jobim & Miucha,artist,spotify:artist:6m4CUwovKJa83yVpwz6QyU,https://open.spotify.com/artist/6m4CUwovKJa83yVpwz6QyU
https://api.spotify.com/v1/artists/0wRxUfQ3PnBW6ZODmF4RJL,0wRxUfQ3PnBW6ZODmF4RJL,[],Tom Jobim/Carlos Lyra,artist,spotify:artist:0wRxUfQ3PnBW6ZODmF4RJL,https://open.spotify.com/artist/0wRxUfQ3PnBW6ZODmF4RJL
https://api.spotify.com/v1/artists/4bhbB83mJYKDwOt7qAZ9f3,4bhbB83mJYKDwOt7qAZ9f3,[],Tom Jobim,artist,spotify:artist:4bhbB83mJYKDwOt7qAZ9f3,https://open.spotify.com/artist/4bhbB83mJYKDwOt7qAZ9f3
https://api.spotify.com/v1/artists/2RlqD2JzVpxnnPxuBfV6wu,2RlqD2JzVpxnnPxuBfV6wu,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebe2468ada70bca31fe390b1f1', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174e2468ada70bca31fe390b1f1', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178e2468ada70bca31fe390b1f1', 'height': 160, 'width': 160}]",Tom Veloso,artist,spotify:artist:2RlqD2JzVpxnnPxuBfV6wu,https://open.spotify.com/artist/2RlqD2JzVpxnnPxuBfV6wu
https://api.spotify.com/v1/artists/6DwtKOBE3ubTsXyRX7wiUz,6DwtKOBE3ubTsXyRX7wiUz,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb2f74248ba07cf80000029fe9', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051742f74248ba07cf80000029fe9', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1782f74248ba07cf80000029fe9', 'height': 160, 'width': 160}]",Tom Robinson,artist,spotify:artist:6DwtKOBE3ubTsXyRX7wiUz,https://open.spotify.com/artist/6DwtKOBE3ubTsXyRX7wiUz
https://api.spotify.com/v1/artists/0RSWHhBUwW7lhCqXqxKxWN,0RSWHhBUwW7lhCqXqxKxWN,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebffc0e1c1c34a367de45d81cc', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174ffc0e1c1c34a367de45d81cc', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178ffc0e1c1c34a367de45d81cc', 'height': 160, 'width': 160}]",Cartola,artist,spotify:artist:0RSWHhBUwW7lhCqXqxKxWN,https://open.spotify.com/artist/0RSWHhBUwW7lhCqXqxKxWN
https://api.spotify.com/v1/artists/3Bnq7jiU506HcPjRgQ43TM,3Bnq7jiU506HcPjRgQ43TM,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb8ed529f569634a2c98232412', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051748ed529f569634a2c98232412', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1788ed529f569634a2c98232412', 'height': 160, 'width': 160}]",Milton Nascimento,artist,spotify:artist:3Bnq7jiU506HcPjRgQ43TM,https://open.spotify.com/artist/3Bnq7jiU506HcPjRgQ43TM
https://api.spotify.com/v1/artists/7oEkUINVIj1Nr3Wnj8tzqr,7oEkUINVIj1Nr3Wnj8tzqr,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebdf423bfb01afb1cf3d60d61a', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174df423bfb01afb1cf3d60d61a', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178df423bfb01afb1cf3d60d61a', 'height': 160, 'width': 160}]",Gilberto Gil,artist,spotify:artist:7oEkUINVIj1Nr3Wnj8tzqr,https://open.spotify.com/artist/7oEkUINVIj1Nr3Wnj8tzqr
https://api.spotify.com/v1/artists/1Mxqyy3pSjf8kZZL4QVxS0,1Mxqyy3pSjf8kZZL4QVxS0,"[{'url': 'https://i.scdn.co/image/fc4e0f474fb4c4cb83617aa884dc9fd9822d4411', 'height': 650, 'width': 999}, {'url': 'https://i.scdn.co/image/883de3e492364891543bc0313ffe516626778a16', 'height': 416, 'width': 640}, {'url': 'https://i.scdn.co/image/810f29651e05c9eae5a31f8151c2e05dc46390f9', 'height': 130, 'width': 200}, {'url': 'https://i.scdn.co/image/a283ecdc6252ae305c53d283846cae2e8b22e94c', 'height': 42, 'width': 64}]",Frank Sinatra,artist,spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0,https://open.spotify.com/artist/1Mxqyy3pSjf8kZZL4QVxS0
https://api.spotify.com/v1/artists/0jOs0wnXCu1bGGP7kh5uIu,0jOs0wnXCu1bGGP7kh5uIu,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebaa594f902dd3a6704715933f', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174aa594f902dd3a6704715933f', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178aa594f902dd3a6704715933f', 'height': 160, 'width': 160}]",Tim Maia,artist,spotify:artist:0jOs0wnXCu1bGGP7kh5uIu,https://open.spotify.com/artist/0jOs0wnXCu1bGGP7kh5uIu
https://api.spotify.com/v1/artists/3f5VCwd57gZsqMad28jyLV,3f5VCwd57gZsqMad28jyLV,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb6dd0de52c3b1a36a6400eb6d', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051746dd0de52c3b1a36a6400eb6d', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1786dd0de52c3b1a36a6400eb6d', 'height': 160, 'width': 160}]",Maria Bethânia,artist,spotify:artist:3f5VCwd57gZsqMad28jyLV,https://open.spotify.com/artist/3f5VCwd57gZsqMad28jyLV
https://api.spotify.com/v1/artists/0jT48kypHnX58jUkniYJmV,0jT48kypHnX58jUkniYJmV,[],Tom Jobim & Elis Regina,artist,spotify:artist:0jT48kypHnX58jUkniYJmV,https://open.spotify.com/artist/0jT48kypHnX58jUkniYJmV
https://api.spotify.com/v1/artists/3wZQO089P0P1CA097m4pbp,3wZQO089P0P1CA097m4pbp,[],Banda Tom Jobim,artist,spotify:artist:3wZQO089P0P1CA097m4pbp,https://open.spotify.com/artist/3wZQO089P0P1CA097m4pbp
https://api.spotify.com/v1/artists/6nClxvheigRgB1w20lnaiI,6nClxvheigRgB1w20lnaiI,"[{'url': 'https://i.scdn.co/image/ab67616d0000b27380586f43e6da299f11e668df', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e0280586f43e6da299f11e668df', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d0000485180586f43e6da299f11e668df', 'height': 64, 'width': 64}]",Orquestra Tom Jobim,artist,spotify:artist:6nClxvheigRgB1w20lnaiI,https://open.spotify.com/artist/6nClxvheigRgB1w20lnaiI
https://api.spotify.com/v1/artists/1ej3blf5sikyy5JM9BfacG,1ej3blf5sikyy5JM9BfacG,[],Grupo Tom Jovem do IASP-HT,artist,spotify:artist:1ej3blf5sikyy5JM9BfacG,https://open.spotify.com/artist/1ej3blf5sikyy5JM9BfacG
