href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/7oEkUINVIj1Nr3Wnj8tzqr,7oEkUINVIj1Nr3Wnj8tzqr,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebdf423bfb01afb1cf3d60d61a', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174df423bfb01afb1cf3d60d61a', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178df423bfb01afb1cf3d60d61a', 'height': 160, 'width': 160}]",Gilberto Gil,artist,spotify:artist:7oEkUINVIj1Nr3Wnj8tzqr,https://open.spotify.com/artist/7oEkUINVIj1Nr3Wnj8tzqr
https://api.spotify.com/v1/artists/6tOsSffQQIXmK8TqsDck8t,6tOsSffQQIXmK8TqsDck8t,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb1f33f0eccfef05940a1ef879', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051741f33f0eccfef05940a1ef879', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1781f33f0eccfef05940a1ef879', 'height': 160, 'width': 160}]",Chico Buarque,artist,spotify:artist:6tOsSffQQIXmK8TqsDck8t,https://open.spotify.com/artist/6tOsSffQQIXmK8TqsDck8t
https://api.spotify.com/v1/artists/3Bnq7jiU506HcPjRgQ43TM,3Bnq7jiU506HcPjRgQ43TM,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb8ed529f569634a2c98232412', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051748ed529f569634a2c98232412', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1788ed529f569634a2c98232412', 'height': 160, 'width': 160}]",Milton Nascimento,artist,spotify:artist:3Bnq7jiU506HcPjRgQ43TM,https://open.spotify.com/artist/3Bnq7jiU506HcPjRgQ43TM
https://api.spotify.com/v1/artists/7HGNYPmbDrMkylWqeFCOIQ,7HGNYPmbDrMkylWqeFCOIQ,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebcffb538293045411d2b51b8a', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174cffb538293045411d2b51b8a', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178cffb538293045411d2b51b8a', 'height': 160, 'width': 160}]",Caetano Veloso,artist,spotify:artist:7HGNYPmbDrMkylWqeFCOIQ,https://open.spotify.com/artist/7HGNYPmbDrMkylWqeFCOIQ
https://api.spotify.com/v1/artists/1QVcBfbHhiDweZjWTXVno7,1QVcBfbHhiDweZjWTXVno7,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273a4933fcf0321bf8231bbbe79', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02a4933fcf0321bf8231bbbe79', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d0000485109187c5c5ee3b6bc6af47f2d', 'height': 64, 'width': 64}]",Gilberto & Gilmar,artist,spotify:artist:1QVcBfbHhiDweZjWTXVno7,https://open.spotify.com/artist/1QVcBfbHhiDweZjWTXVno7
https://api.spotify.com/v1/artists/5JYtpnUKxAzXfHEYpOeeit,5JYtpnUKxAzXfHEYpOeeit,"[{'url': 'https://i.scdn.co/image/a9c6a324c5f4a0f25bc711a7c4434c89c05ceba2', 'height': 1000, 'width': 1000}, {'url': 'https://i.scdn.co/image/7f234b1e44539a169dd9e7f1372a87616d93f7dc', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/8de927ae02c5ecd038c643a8b1ea8fbe63bb8c85', 'height': 200, 'width': 200}, {'url': 'https://i.scdn.co/image/751ae07fb4d3f35265276c227fedd0630a47ecfa', 'height': 64, 'width': 64}]",Jorge Ben Jor,artist,spotify:artist:5JYtpnUKxAzXfHEYpOeeit,https://open.spotify.com/artist/5JYtpnUKxAzXfHEYpOeeit
https://api.spotify.com/v1/artists/5rrmaoBXZ7Jcs4Qb77j0YA,5rrmaoBXZ7Jcs4Qb77j0YA,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebe699e9c224d7602835111180', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174e699e9c224d7602835111180', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178e699e9c224d7602835111180', 'height': 160, 'width': 160}]",Djavan,artist,spotify:artist:5rrmaoBXZ7Jcs4Qb77j0YA,https://open.spotify.com/artist/5rrmaoBXZ7Jcs4Qb77j0YA
https://api.spotify.com/v1/artists/1b8kpp4DUwt1hWaxTiWQhD,1b8kpp4DUwt1hWaxTiWQhD,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb9ba799363b79e9a73b2c303a', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051749ba799363b79e9a73b2c303a', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1789ba799363b79e9a73b2c303a', 'height': 160, 'width': 160}]",Gal Costa,artist,spotify:artist:1b8kpp4DUwt1hWaxTiWQhD,https://open.spotify.com/artist/1b8kpp4DUwt1hWaxTiWQhD
https://api.spotify.com/v1/artists/1Nkrp1KOmusy0yZw24twC5,1Nkrp1KOmusy0yZw24twC5,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb58886201020beef29451c58f', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517458886201020beef29451c58f', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17858886201020beef29451c58f', 'height': 160, 'width': 160}]",Gilberto e Gilmar,artist,spotify:artist:1Nkrp1KOmusy0yZw24twC5,https://open.spotify.com/artist/1Nkrp1KOmusy0yZw24twC5
https://api.spotify.com/v1/artists/27vNK840zYq6IfDijHPsv1,27vNK840zYq6IfDijHPsv1,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebcf25918aa2fcf37c6be79410', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174cf25918aa2fcf37c6be79410', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178cf25918aa2fcf37c6be79410', 'height': 160, 'width': 160}]",Gilberto Santa Rosa,artist,spotify:artist:27vNK840zYq6IfDijHPsv1,https://open.spotify.com/artist/27vNK840zYq6IfDijHPsv1
