href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/3d2pb1dHTm8b61zAGVUVvO,3d2pb1dHTm8b61zAGVUVvO,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb0d305cbdf47570c2489bab2c', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051740d305cbdf47570c2489bab2c', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1780d305cbdf47570c2489bab2c', 'height': 160, 'width': 160}]",Mick Jagger,artist,spotify:artist:3d2pb1dHTm8b61zAGVUVvO,https://open.spotify.com/artist/3d2pb1dHTm8b61zAGVUVvO
https://api.spotify.com/v1/artists/3fMbdgg4jU18AjLCKBhRSm,3fMbdgg4jU18AjLCKBhRSm,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb997cc9a4aec335d46c9481fd', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174997cc9a4aec335d46c9481fd', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178997cc9a4aec335d46c9481fd', 'height': 160, 'width': 160}]",Michael Jackson,artist,spotify:artist:3fMbdgg4jU18AjLCKBhRSm,https://open.spotify.com/artist/3fMbdgg4jU18AjLCKBhRSm
https://api.spotify.com/v1/artists/22bE4uQ6baNwSHPVcDxLCe,22bE4uQ6baNwSHPVcDxLCe,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebe4cea917b68726aadb4854b8', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174e4cea917b68726aadb4854b8', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178e4cea917b68726aadb4854b8', 'height': 160, 'width': 160}]",The Rolling Stones,artist,spotify:artist:22bE4uQ6baNwSHPVcDxLCe,https://open.spotify.com/artist/22bE4uQ6baNwSHPVcDxLCe
https://api.spotify.com/v1/artists/2K5llYyoLmzpOcbVuOY1ls,2K5llYyoLmzpOcbVuOY1ls,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebd5f57104c7fb99b190761836', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174d5f57104c7fb99b190761836', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178d5f57104c7fb99b190761836', 'height': 160, 'width': 160}]",Baby Do Brasil,artist,spotify:artist:2K5llYyoLmzpOcbVuOY1ls,https://open.spotify.com/artist/2K5llYyoLmzpOcbVuOY1ls
https://api.spotify.com/v1/artists/0oSGxfWSnnOXhD2fKuz2Gy,0oSGxfWSnnOXhD2fKuz2Gy,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebb78f77c5583ae99472dd4a49', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174b78f77c5583ae99472dd4a49', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178b78f77c5583ae99472dd4a49', 'height': 160, 'width': 160}]",David Bowie,artist,spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy,https://open.spotify.com/artist/0oSGxfWSnnOXhD2fKuz2Gy
https://api.spotify.com/v1/artists/711MCceyCBcFnzjGY4Q7Un,711MCceyCBcFnzjGY4Q7Un,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebc4c77549095c86acb4e77b37', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174c4c77549095c86acb4e77b37', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178c4c77549095c86acb4e77b37', 'height': 160, 'width': 160}]",AC/DC,artist,spotify:artist:711MCceyCBcFnzjGY4Q7Un,https://open.spotify.com/artist/711MCceyCBcFnzjGY4Q7Un
https://api.spotify.com/v1/artists/40FTYjA9QdFHThT5WkbLSj,40FTYjA9QdFHThT5WkbLSj,"[{'url': 'https://i.scdn.co/image/ab67616d0000b2730cb3f7de6b7e98bcb8bb2531', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e020cb3f7de6b7e98bcb8bb2531', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d000048510cb3f7de6b7e98bcb8bb2531', 'height': 64, 'width': 64}]",Mick Jaeger,artist,spotify:artist:40FTYjA9QdFHThT5WkbLSj,https://open.spotify.com/artist/40FTYjA9QdFHThT5WkbLSj
https://api.spotify.com/v1/artists/08avsqaGIlK2x3i2Cu7rKH,08avsqaGIlK2x3i2Cu7rKH,"[{'url': 'https://i.scdn.co/image/ab6772690000c46cdcd6bbd9e68771f51a14c6c7', 'height': 1000, 'width': 1000}, {'url': 'https://i.scdn.co/image/ab6772690000dd22dcd6bbd9e68771f51a14c6c7', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6772690000bac3dcd6bbd9e68771f51a14c6c7', 'height': 200, 'width': 200}, {'url': 'https://i.scdn.co/image/ab67726900008f74dcd6bbd9e68771f51a14c6c7', 'height': 64, 'width': 64}]",Keith Richards,artist,spotify:artist:08avsqaGIlK2x3i2Cu7rKH,https://open.spotify.com/artist/08avsqaGIlK2x3i2Cu7rKH
https://api.spotify.com/v1/artists/2jzc5TC5TVFLXQlBNiIUzE,2jzc5TC5TVFLXQlBNiIUzE,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb0168ba8148c07c2cdeb7d067', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051740168ba8148c07c2cdeb7d067', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1780168ba8148c07c2cdeb7d067', 'height': 160, 'width': 160}]",a-ha,artist,spotify:artist:2jzc5TC5TVFLXQlBNiIUzE,https://open.spotify.com/artist/2jzc5TC5TVFLXQlBNiIUzE
https://api.spotify.com/v1/artists/0y96kjbwVcr4Yjs1uonf5B,0y96kjbwVcr4Yjs1uonf5B,"[{'url': 'https://i.scdn.co/image/ab67616d0000b27340d0011d75c2dc77335a3c9f', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e0240d0011d75c2dc77335a3c9f', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d0000485140d0011d75c2dc77335a3c9f', 'height': 64, 'width': 64}]",Syke 'n' Sugarstarr,artist,spotify:artist:0y96kjbwVcr4Yjs1uonf5B,https://open.spotify.com/artist/0y96kjbwVcr4Yjs1uonf5B
