href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/6tOsSffQQIXmK8TqsDck8t,6tOsSffQQIXmK8TqsDck8t,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb1f33f0eccfef05940a1ef879', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051741f33f0eccfef05940a1ef879', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1781f33f0eccfef05940a1ef879', 'height': 160, 'width': 160}]",Chico Buarque,artist,spotify:artist:6tOsSffQQIXmK8TqsDck8t,https://open.spotify.com/artist/6tOsSffQQIXmK8TqsDck8t
https://api.spotify.com/v1/artists/7dnT2FUXhjirperXaH22IJ,7dnT2FUXhjirperXaH22IJ,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb4127fac942e5106e3c953c63', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051744127fac942e5106e3c953c63', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1784127fac942e5106e3c953c63', 'height': 160, 'width': 160}]",Rita Lee,artist,spotify:artist:7dnT2FUXhjirperXaH22IJ,https://open.spotify.com/artist/7dnT2FUXhjirperXaH22IJ
https://api.spotify.com/v1/artists/7oEkUINVIj1Nr3Wnj8tzqr,7oEkUINVIj1Nr3Wnj8tzqr,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebdf423bfb01afb1cf3d60d61a', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174df423bfb01afb1cf3d60d61a', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178df423bfb01afb1cf3d60d61a', 'height': 160, 'width': 160}]",Gilberto Gil,artist,spotify:artist:7oEkUINVIj1Nr3Wnj8tzqr,https://open.spotify.com/artist/7oEkUINVIj1Nr3Wnj8tzqr
https://api.spotify.com/v1/artists/7HGNYPmbDrMkylWqeFCOIQ,7HGNYPmbDrMkylWqeFCOIQ,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebcffb538293045411d2b51b8a', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174cffb538293045411d2b51b8a', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178cffb538293045411d2b51b8a', 'height': 160, 'width': 160}]",Caetano Veloso,artist,spotify:artist:7HGNYPmbDrMkylWqeFCOIQ,https://open.spotify.com/artist/7HGNYPmbDrMkylWqeFCOIQ
https://api.spotify.com/v1/artists/3Bnq7jiU506HcPjRgQ43TM,3Bnq7jiU506HcPjRgQ43TM,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb8ed529f569634a2c98232412', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051748ed529f569634a2c98232412', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1788ed529f569634a2c98232412', 'height': 160, 'width': 160}]",Milton Nascimento,artist,spotify:artist:3Bnq7jiU506HcPjRgQ43TM,https://open.spotify.com/artist/3Bnq7jiU506HcPjRgQ43TM
https://api.spotify.com/v1/artists/0yFvXd36g5sNKYDi0Kkvl8,0yFvXd36g5sNKYDi0Kkvl8,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb0fa315c76bb4539c6efa2966', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051740fa315c76bb4539c6efa2966', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1780fa315c76bb4539c6efa2966', 'height': 160, 'width': 160}]",Elis Regina,artist,spotify:artist:0yFvXd36g5sNKYDi0Kkvl8,https://open.spotify.com/artist/0yFvXd36g5sNKYDi0Kkvl8
https://api.spotify.com/v1/artists/3f5VCwd57gZsqMad28jyLV,3f5VCwd57gZsqMad28jyLV,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb6dd0de52c3b1a36a6400eb6d', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051746dd0de52c3b1a36a6400eb6d', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1786dd0de52c3b1a36a6400eb6d', 'height': 160, 'width': 160}]",Maria Bethânia,artist,spotify:artist:3f5VCwd57gZsqMad28jyLV,https://open.spotify.com/artist/3f5VCwd57gZsqMad28jyLV
https://api.spotify.com/v1/artists/3fVhnDlUStx5JWgYGElXNx,3fVhnDlUStx5JWgYGElXNx,[],Chico Buarque,artist,spotify:artist:3fVhnDlUStx5JWgYGElXNx,https://open.spotify.com/artist/3fVhnDlUStx5JWgYGElXNx
https://api.spotify.com/v1/artists/3zxuJmeUmSa6gxSwKQLpiX,3zxuJmeUmSa6gxSwKQLpiX,"[{'url': 'https://i.scdn.co/image/ab67616d0000b2735d62c02a8dabd6d99ade30d0', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e025d62c02a8dabd6d99ade30d0', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d000048515d62c02a8dabd6d99ade30d0', 'height': 64, 'width': 64}]",Chico Buarque Hollanda,artist,spotify:artist:3zxuJmeUmSa6gxSwKQLpiX,https://open.spotify.com/artist/3zxuJmeUmSa6gxSwKQLpiX
https://api.spotify.com/v1/artists/68hmQ9P0kK6Hl9WNwA5DRm,68hmQ9P0kK6Hl9WNwA5DRm,[],Chico Buarque de Holanda,artist,spotify:artist:68hmQ9P0kK6Hl9WNwA5DRm,https://open.spotify.com/artist/68hmQ9P0kK6Hl9WNwA5DRm
https://api.spotify.com/v1/artists/4N45qJhTqoqNOYjk7FDF2c,4N45qJhTqoqNOYjk7FDF2c,[],Chico Buarque (Compositor),artist,spotify:artist:4N45qJhTqoqNOYjk7FDF2c,https://open.spotify.com/artist/4N45qJhTqoqNOYjk7FDF2c
https://api.spotify.com/v1/artists/3pO5VjZ4wOHCMBXOvbMISG,3pO5VjZ4wOHCMBXOvbMISG,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb18561c395151b4ab0e3c17ee', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517418561c395151b4ab0e3c17ee', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17818561c395151b4ab0e3c17ee', 'height': 160, 'width': 160}]",Antônio Carlos Jobim,artist,spotify:artist:3pO5VjZ4wOHCMBXOvbMISG,https://open.spotify.com/artist/3pO5VjZ4wOHCMBXOvbMISG
