href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/7dnT2FUXhjirperXaH22IJ,7dnT2FUXhjirperXaH22IJ,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb4127fac942e5106e3c953c63', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051744127fac942e5106e3c953c63', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1784127fac942e5106e3c953c63', 'height': 160, 'width': 160}]",Rita Lee,artist,spotify:artist:7dnT2FUXhjirperXaH22IJ,https://open.spotify.com/artist/7dnT2FUXhjirperXaH22IJ
https://api.spotify.com/v1/artists/2dmQ0vMD3THLMcz7DsvfaT,2dmQ0vMD3THLMcz7DsvfaT,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb1183488d72f571f4b079c5d5', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051741183488d72f571f4b079c5d5', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1781183488d72f571f4b079c5d5', 'height': 160, 'width': 160}]",Pitty,artist,spotify:artist:2dmQ0vMD3THLMcz7DsvfaT,https://open.spotify.com/artist/2dmQ0vMD3THLMcz7DsvfaT
https://api.spotify.com/v1/artists/10naVTwNjE50daQVrN0bXh,10naVTwNjE50daQVrN0bXh,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb173e5ef74a4a36decb5dc213', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174173e5ef74a4a36decb5dc213', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178173e5ef74a4a36decb5dc213', 'height': 160, 'width': 160}]",Cássia Eller,artist,spotify:artist:10naVTwNjE50daQVrN0bXh,https://open.spotify.com/artist/10naVTwNjE50daQVrN0bXh
https://api.spotify.com/v1/artists/1b8kpp4DUwt1hWaxTiWQhD,1b8kpp4DUwt1hWaxTiWQhD,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb9ba799363b79e9a73b2c303a', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051749ba799363b79e9a73b2c303a', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1789ba799363b79e9a73b2c303a', 'height': 160, 'width': 160}]",Gal Costa,artist,spotify:artist:1b8kpp4DUwt1hWaxTiWQhD,https://open.spotify.com/artist/1b8kpp4DUwt1hWaxTiWQhD
https://api.spotify.com/v1/artists/5C0gCCG8N5Dh5dZytIgzLX,5C0gCCG8N5Dh5dZytIgzLX,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb9864aff8c135cd013fb758c3', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051749864aff8c135cd013fb758c3', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1789864aff8c135cd013fb758c3', 'height': 160, 'width': 160}]",Os Mutantes,artist,spotify:artist:5C0gCCG8N5Dh5dZytIgzLX,https://open.spotify.com/artist/5C0gCCG8N5Dh5dZytIgzLX
https://api.spotify.com/v1/artists/2euX7vCVnJy3TVEGfc0RCl,2euX7vCVnJy3TVEGfc0RCl,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb879299d75c2461aea6d2b998', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174879299d75c2461aea6d2b998', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178879299d75c2461aea6d2b998', 'height': 160, 'width': 160}]",Titãs,artist,spotify:artist:2euX7vCVnJy3TVEGfc0RCl,https://open.spotify.com/artist/2euX7vCVnJy3TVEGfc0RCl
https://api.spotify.com/v1/artists/0A1oy7PC7fdzURgaLaWkL1,0A1oy7PC7fdzURgaLaWkL1,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb0ecd444749b59868afd385b6', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051740ecd444749b59868afd385b6', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1780ecd444749b59868afd385b6', 'height': 160, 'width': 160}]",Lulu Santos,artist,spotify:artist:0A1oy7PC7fdzURgaLaWkL1,https://open.spotify.com/artist/0A1oy7PC7fdzURgaLaWkL1
https://api.spotify.com/v1/artists/3FrPI6q0TWfZkgjcQeVYaT,3FrPI6q0TWfZkgjcQeVYaT,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb679fc813367d269f92da88dc', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174679fc813367d269f92da88dc', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178679fc813367d269f92da88dc', 'height': 160, 'width': 160}]",Rita Benneditto,artist,spotify:artist:3FrPI6q0TWfZkgjcQeVYaT,https://open.spotify.com/artist/3FrPI6q0TWfZkgjcQeVYaT
https://api.spotify.com/v1/artists/7oFD7WICgGuQB5esixQ7Dh,7oFD7WICgGuQB5esixQ7Dh,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebb8463817fc92f82f486d911a', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174b8463817fc92f82f486d911a', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178b8463817fc92f82f486d911a', 'height': 160, 'width': 160}]",Rita De Cássia,artist,spotify:artist:7oFD7WICgGuQB5esixQ7Dh,https://open.spotify.com/artist/7oFD7WICgGuQB5esixQ7Dh
https://api.spotify.com/v1/artists/4enmTrqLdYWyq85HldQw5d,4enmTrqLdYWyq85HldQw5d,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273d6fd43cc7ae83a0b7a7c7afe', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02d6fd43cc7ae83a0b7a7c7afe', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d000048510a0ae90c8154511499198a10', 'height': 64, 'width': 64}]",Lee Thanat,artist,spotify:artist:4enmTrqLdYWyq85HldQw5d,https://open.spotify.com/artist/4enmTrqLdYWyq85HldQw5d
