href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/0jOs0wnXCu1bGGP7kh5uIu,0jOs0wnXCu1bGGP7kh5uIu,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebaa594f902dd3a6704715933f', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174aa594f902dd3a6704715933f', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178aa594f902dd3a6704715933f', 'height': 160, 'width': 160}]",Tim Maia,artist,spotify:artist:0jOs0wnXCu1bGGP7kh5uIu,https://open.spotify.com/artist/0jOs0wnXCu1bGGP7kh5uIu
https://api.spotify.com/v1/artists/5JYtpnUKxAzXfHEYpOeeit,5JYtpnUKxAzXfHEYpOeeit,"[{'url': 'https://i.scdn.co/image/a9c6a324c5f4a0f25bc711a7c4434c89c05ceba2', 'height': 1000, 'width': 1000}, {'url': 'https://i.scdn.co/image/7f234b1e44539a169dd9e7f1372a87616d93f7dc', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/8de927ae02c5ecd038c643a8b1ea8fbe63bb8c85', 'height': 200, 'width': 200}, {'url': 'https://i.scdn.co/image/751ae07fb4d3f35265276c227fedd0630a47ecfa', 'height': 64, 'width': 64}]",Jorge Ben Jor,artist,spotify:artist:5JYtpnUKxAzXfHEYpOeeit,https://open.spotify.com/artist/5JYtpnUKxAzXfHEYpOeeit
https://api.spotify.com/v1/artists/5rrmaoBXZ7Jcs4Qb77j0YA,5rrmaoBXZ7Jcs4Qb77j0YA,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebe699e9c224d7602835111180', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174e699e9c224d7602835111180', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178e699e9c224d7602835111180', 'height': 160, 'width': 160}]",Djavan,artist,spotify:artist:5rrmaoBXZ7Jcs4Qb77j0YA,https://open.spotify.com/artist/5rrmaoBXZ7Jcs4Qb77j0YA
https://api.spotify.com/v1/artists/3qZ2n5keOAat1SoF6bHwmb,3qZ2n5keOAat1SoF6bHwmb,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebba8ad8a2315ed9148c7b1cc7', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174ba8ad8a2315ed9148c7b1cc7', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178ba8ad8a2315ed9148c7b1cc7', 'height': 160, 'width': 160}]",Zeca Pagodinho,artist,spotify:artist:3qZ2n5keOAat1SoF6bHwmb,https://open.spotify.com/artist/3qZ2n5keOAat1SoF6bHwmb
https://api.spotify.com/v1/artists/4C4kpaAdp6aKSkguw40SsU,4C4kpaAdp6aKSkguw40SsU,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb2b61503716c9cbb86f6a0658', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051742b61503716c9cbb86f6a0658', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1782b61503716c9cbb86f6a0658', 'height': 160, 'width': 160}]",Skank,artist,spotify:artist:4C4kpaAdp6aKSkguw40SsU,https://open.spotify.com/artist/4C4kpaAdp6aKSkguw40SsU
https://api.spotify.com/v1/artists/1YOVBTvznjiDvtAj4ExHeo,1YOVBTvznjiDvtAj4ExHeo,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb0174a39f64d6da8dc3d821e7', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051740174a39f64d6da8dc3d821e7', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1780174a39f64d6da8dc3d821e7', 'height': 160, 'width': 160}]",BK,artist,spotify:artist:1YOVBTvznjiDvtAj4ExHeo,https://open.spotify.com/artist/1YOVBTvznjiDvtAj4ExHeo
https://api.spotify.com/v1/artists/1AUZYkS7eLmZUnBjQyJmwf,1AUZYkS7eLmZUnBjQyJmwf,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb94cda68e02b537bf45103502', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517494cda68e02b537bf45103502', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17894cda68e02b537bf45103502', 'height': 160, 'width': 160}]",timmies,artist,spotify:artist:1AUZYkS7eLmZUnBjQyJmwf,https://open.spotify.com/artist/1AUZYkS7eLmZUnBjQyJmwf
https://api.spotify.com/v1/artists/5gqcLXiJcBVEduXVle7JN1,5gqcLXiJcBVEduXVle7JN1,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273ccfe352a0ebd4fdb7b438d0c', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02ccfe352a0ebd4fdb7b438d0c', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851ccfe352a0ebd4fdb7b438d0c', 'height': 64, 'width': 64}]",Timmy T,artist,spotify:artist:5gqcLXiJcBVEduXVle7JN1,https://open.spotify.com/artist/5gqcLXiJcBVEduXVle7JN1
https://api.spotify.com/v1/artists/73ccUooVMh9xJHi0rXOwTz,73ccUooVMh9xJHi0rXOwTz,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb02272106ba4115856788d47c', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517402272106ba4115856788d47c', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17802272106ba4115856788d47c', 'height': 160, 'width': 160}]",Sâmya Maia,artist,spotify:artist:73ccUooVMh9xJHi0rXOwTz,https://open.spotify.com/artist/73ccUooVMh9xJHi0rXOwTz
https://api.spotify.com/v1/artists/44BkC9lJfLmhcRB4NV7Z38,44BkC9lJfLmhcRB4NV7Z38,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebfcdd7366ce205524aa42fb92', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174fcdd7366ce205524aa42fb92', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178fcdd7366ce205524aa42fb92', 'height': 160, 'width': 160}]",Tim Myers,artist,spotify:artist:44BkC9lJfLmhcRB4NV7Z38,https://open.spotify.com/artist/44BkC9lJfLmhcRB4NV7Z38
https://api.spotify.com/v1/artists/1on7ZQ2pvgeQF4vmIA09x5,1on7ZQ2pvgeQF4vmIA09x5,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb67bc48f32d1cc16497865361', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517467bc48f32d1cc16497865361', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17867bc48f32d1cc16497865361', 'height': 160, 'width': 160}]",Charlie Brown Jr.,artist,spotify:artist:1on7ZQ2pvgeQF4vmIA09x5,https://open.spotify.com/artist/1on7ZQ2pvgeQF4vmIA09x5
