href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/5JYtpnUKxAzXfHEYpOeeit,5JYtpnUKxAzXfHEYpOeeit,"[{'url': 'https://i.scdn.co/image/a9c6a324c5f4a0f25bc711a7c4434c89c05ceba2', 'height': 1000, 'width': 1000}, {'url': 'https://i.scdn.co/image/7f234b1e44539a169dd9e7f1372a87616d93f7dc', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/8de927ae02c5ecd038c643a8b1ea8fbe63bb8c85', 'height': 200, 'width': 200}, {'url': 'https://i.scdn.co/image/751ae07fb4d3f35265276c227fedd0630a47ecfa', 'height': 64, 'width': 64}]",Jorge Ben Jor,artist,spotify:artist:5JYtpnUKxAzXfHEYpOeeit,https://open.spotify.com/artist/5JYtpnUKxAzXfHEYpOeeit
https://api.spotify.com/v1/artists/0i1s9WcIu0PrUvHzALgofo,0i1s9WcIu0PrUvHzALgofo,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eba124f650946041fc26b0379b', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174a124f650946041fc26b0379b', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178a124f650946041fc26b0379b', 'height': 160, 'width': 160}]",Seu Jorge,artist,spotify:artist:0i1s9WcIu0PrUvHzALgofo,https://open.spotify.com/artist/0i1s9WcIu0PrUvHzALgofo
https://api.spotify.com/v1/artists/5rrmaoBXZ7Jcs4Qb77j0YA,5rrmaoBXZ7Jcs4Qb77j0YA,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebe699e9c224d7602835111180', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174e699e9c224d7602835111180', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178e699e9c224d7602835111180', 'height': 160, 'width': 160}]",Djavan,artist,spotify:artist:5rrmaoBXZ7Jcs4Qb77j0YA,https://open.spotify.com/artist/5rrmaoBXZ7Jcs4Qb77j0YA
https://api.spotify.com/v1/artists/0jOs0wnXCu1bGGP7kh5uIu,0jOs0wnXCu1bGGP7kh5uIu,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebaa594f902dd3a6704715933f', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174aa594f902dd3a6704715933f', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178aa594f902dd3a6704715933f', 'height': 160, 'width': 160}]",Tim Maia,artist,spotify:artist:0jOs0wnXCu1bGGP7kh5uIu,https://open.spotify.com/artist/0jOs0wnXCu1bGGP7kh5uIu
https://api.spotify.com/v1/artists/783AF57UpgTN2fditDRFSs,783AF57UpgTN2fditDRFSs,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb9cb2c30573b8130b727d50ad', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051749cb2c30573b8130b727d50ad', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1789cb2c30573b8130b727d50ad', 'height': 160, 'width': 160}]",Jorge Vercillo,artist,spotify:artist:783AF57UpgTN2fditDRFSs,https://open.spotify.com/artist/783AF57UpgTN2fditDRFSs
https://api.spotify.com/v1/artists/0Kl4OTnin2VOkJV360fsT4,0Kl4OTnin2VOkJV360fsT4,"[{'url': 'https://i.scdn.co/image/ab67616d0000b2735c7792b16ea73ea2e7f6cbae', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e025c7792b16ea73ea2e7f6cbae', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d000048515c7792b16ea73ea2e7f6cbae', 'height': 64, 'width': 64}]",Jorge Ben,artist,spotify:artist:0Kl4OTnin2VOkJV360fsT4,https://open.spotify.com/artist/0Kl4OTnin2VOkJV360fsT4
https://api.spotify.com/v1/artists/3qZ2n5keOAat1SoF6bHwmb,3qZ2n5keOAat1SoF6bHwmb,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebba8ad8a2315ed9148c7b1cc7', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174ba8ad8a2315ed9148c7b1cc7', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178ba8ad8a2315ed9148c7b1cc7', 'height': 160, 'width': 160}]",Zeca Pagodinho,artist,spotify:artist:3qZ2n5keOAat1SoF6bHwmb,https://open.spotify.com/artist/3qZ2n5keOAat1SoF6bHwmb
https://api.spotify.com/v1/artists/4N8BwYTEC6XqykGvXXlmfv,4N8BwYTEC6XqykGvXXlmfv,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb487b00fa17362b8eab3b16c8', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174487b00fa17362b8eab3b16c8', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178487b00fa17362b8eab3b16c8', 'height': 160, 'width': 160}]",George Benson,artist,spotify:artist:4N8BwYTEC6XqykGvXXlmfv,https://open.spotify.com/artist/4N8BwYTEC6XqykGvXXlmfv
https://api.spotify.com/v1/artists/2AA3TWDERge9GbZ0DlRDXG,2AA3TWDERge9GbZ0DlRDXG,"[{'url': 'https://i.scdn.co/image/ab67616d0000b27338324ac2c3d3444b6198310f', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e0238324ac2c3d3444b6198310f', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d0000485138324ac2c3d3444b6198310f', 'height': 64, 'width': 64}]",Jorge Benner,artist,spotify:artist:2AA3TWDERge9GbZ0DlRDXG,https://open.spotify.com/artist/2AA3TWDERge9GbZ0DlRDXG
https://api.spotify.com/v1/artists/6qlKwbOl0SJLOLd8wlmbnN,6qlKwbOl0SJLOLd8wlmbnN,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebc85e9efc7bb8ea06e0d0cebd', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174c85e9efc7bb8ea06e0d0cebd', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178c85e9efc7bb8ea06e0d0cebd', 'height': 160, 'width': 160}]",Jorge Rigo,artist,spotify:artist:6qlKwbOl0SJLOLd8wlmbnN,https://open.spotify.com/artist/6qlKwbOl0SJLOLd8wlmbnN
