href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/0RSWHhBUwW7lhCqXqxKxWN,0RSWHhBUwW7lhCqXqxKxWN,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebffc0e1c1c34a367de45d81cc', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174ffc0e1c1c34a367de45d81cc', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178ffc0e1c1c34a367de45d81cc', 'height': 160, 'width': 160}]",Cartola,artist,spotify:artist:0RSWHhBUwW7lhCqXqxKxWN,https://open.spotify.com/artist/0RSWHhBUwW7lhCqXqxKxWN
https://api.spotify.com/v1/artists/7vTlV3ajnMxl5l0ahupUeP,7vTlV3ajnMxl5l0ahupUeP,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb75bd68b8584cf51106121882', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517475bd68b8584cf51106121882', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17875bd68b8584cf51106121882', 'height': 160, 'width': 160}]",Adoniran Barbosa,artist,spotify:artist:7vTlV3ajnMxl5l0ahupUeP,https://open.spotify.com/artist/7vTlV3ajnMxl5l0ahupUeP
https://api.spotify.com/v1/artists/3aqtJPuhfwxQ60jG1OAFQt,3aqtJPuhfwxQ60jG1OAFQt,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eba71790328108fb4f75b4078b', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174a71790328108fb4f75b4078b', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178a71790328108fb4f75b4078b', 'height': 160, 'width': 160}]",Bezerra Da Silva,artist,spotify:artist:3aqtJPuhfwxQ60jG1OAFQt,https://open.spotify.com/artist/3aqtJPuhfwxQ60jG1OAFQt
https://api.spotify.com/v1/artists/6tOsSffQQIXmK8TqsDck8t,6tOsSffQQIXmK8TqsDck8t,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb1f33f0eccfef05940a1ef879', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051741f33f0eccfef05940a1ef879', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1781f33f0eccfef05940a1ef879', 'height': 160, 'width': 160}]",Chico Buarque,artist,spotify:artist:6tOsSffQQIXmK8TqsDck8t,https://open.spotify.com/artist/6tOsSffQQIXmK8TqsDck8t
https://api.spotify.com/v1/artists/7HGNYPmbDrMkylWqeFCOIQ,7HGNYPmbDrMkylWqeFCOIQ,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebcffb538293045411d2b51b8a', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174cffb538293045411d2b51b8a', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178cffb538293045411d2b51b8a', 'height': 160, 'width': 160}]",Caetano Veloso,artist,spotify:artist:7HGNYPmbDrMkylWqeFCOIQ,https://open.spotify.com/artist/7HGNYPmbDrMkylWqeFCOIQ
https://api.spotify.com/v1/artists/56TkPi7rpmU8jTpkcK7FY3,56TkPi7rpmU8jTpkcK7FY3,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb565b853f9e6046aaf0c251a1', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174565b853f9e6046aaf0c251a1', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178565b853f9e6046aaf0c251a1', 'height': 160, 'width': 160}]",Beth Carvalho,artist,spotify:artist:56TkPi7rpmU8jTpkcK7FY3,https://open.spotify.com/artist/56TkPi7rpmU8jTpkcK7FY3
https://api.spotify.com/v1/artists/49WCb3GAQEGWPb78bcJgvy,49WCb3GAQEGWPb78bcJgvy,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebc8a422af84cdc6bd96e37182', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174c8a422af84cdc6bd96e37182', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178c8a422af84cdc6bd96e37182', 'height': 160, 'width': 160}]",Cartolas,artist,spotify:artist:49WCb3GAQEGWPb78bcJgvy,https://open.spotify.com/artist/49WCb3GAQEGWPb78bcJgvy
https://api.spotify.com/v1/artists/1kMZBCuC7j7UlfHF2CY0l4,1kMZBCuC7j7UlfHF2CY0l4,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273a3329da6173ef62742329ff9', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02a3329da6173ef62742329ff9', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851a3329da6173ef62742329ff9', 'height': 64, 'width': 64}]",Heitor Cartolari Palão,artist,spotify:artist:1kMZBCuC7j7UlfHF2CY0l4,https://open.spotify.com/artist/1kMZBCuC7j7UlfHF2CY0l4
https://api.spotify.com/v1/artists/3t8kinY257fN2xT8Id3gzE,3t8kinY257fN2xT8Id3gzE,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273a3329da6173ef62742329ff9', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02a3329da6173ef62742329ff9', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851a3329da6173ef62742329ff9', 'height': 64, 'width': 64}]",Henrico Cartolari Palão,artist,spotify:artist:3t8kinY257fN2xT8Id3gzE,https://open.spotify.com/artist/3t8kinY257fN2xT8Id3gzE
https://api.spotify.com/v1/artists/1ms2l3rB6iHHxtPvR9kxgW,1ms2l3rB6iHHxtPvR9kxgW,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb35175dd71fc5a9cc5fe5faa5', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517435175dd71fc5a9cc5fe5faa5', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17835175dd71fc5a9cc5fe5faa5', 'height': 160, 'width': 160}]",Carola,artist,spotify:artist:1ms2l3rB6iHHxtPvR9kxgW,https://open.spotify.com/artist/1ms2l3rB6iHHxtPvR9kxgW
