href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/7vTlV3ajnMxl5l0ahupUeP,7vTlV3ajnMxl5l0ahupUeP,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb75bd68b8584cf51106121882', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517475bd68b8584cf51106121882', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17875bd68b8584cf51106121882', 'height': 160, 'width': 160}]",Adoniran Barbosa,artist,spotify:artist:7vTlV3ajnMxl5l0ahupUeP,https://open.spotify.com/artist/7vTlV3ajnMxl5l0ahupUeP
https://api.spotify.com/v1/artists/0RSWHhBUwW7lhCqXqxKxWN,0RSWHhBUwW7lhCqXqxKxWN,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebffc0e1c1c34a367de45d81cc', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174ffc0e1c1c34a367de45d81cc', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178ffc0e1c1c34a367de45d81cc', 'height': 160, 'width': 160}]",Cartola,artist,spotify:artist:0RSWHhBUwW7lhCqXqxKxWN,https://open.spotify.com/artist/0RSWHhBUwW7lhCqXqxKxWN
https://api.spotify.com/v1/artists/3aqtJPuhfwxQ60jG1OAFQt,3aqtJPuhfwxQ60jG1OAFQt,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eba71790328108fb4f75b4078b', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174a71790328108fb4f75b4078b', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178a71790328108fb4f75b4078b', 'height': 160, 'width': 160}]",Bezerra Da Silva,artist,spotify:artist:3aqtJPuhfwxQ60jG1OAFQt,https://open.spotify.com/artist/3aqtJPuhfwxQ60jG1OAFQt
https://api.spotify.com/v1/artists/7jkAtoMgmBU8EYhIT4BDiQ,7jkAtoMgmBU8EYhIT4BDiQ,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebcba59d3233db31ee9a808665', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174cba59d3233db31ee9a808665', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178cba59d3233db31ee9a808665', 'height': 160, 'width': 160}]",Demonios Da Garoa,artist,spotify:artist:7jkAtoMgmBU8EYhIT4BDiQ,https://open.spotify.com/artist/7jkAtoMgmBU8EYhIT4BDiQ
https://api.spotify.com/v1/artists/2wi99swSP87YaFjVOI3zGJ,2wi99swSP87YaFjVOI3zGJ,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebc204422e67e3c20f591bd362', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174c204422e67e3c20f591bd362', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178c204422e67e3c20f591bd362', 'height': 160, 'width': 160}]",Nelson Gonçalves,artist,spotify:artist:2wi99swSP87YaFjVOI3zGJ,https://open.spotify.com/artist/2wi99swSP87YaFjVOI3zGJ
https://api.spotify.com/v1/artists/2rF7JpzIpgWtpVMuPouhIl,2rF7JpzIpgWtpVMuPouhIl,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273faa17bfb24ec3f8d78c6ff46', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02c8b8159c6c73030fa34fe911', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851c8b8159c6c73030fa34fe911', 'height': 64, 'width': 64}]",Noel Rosa,artist,spotify:artist:2rF7JpzIpgWtpVMuPouhIl,https://open.spotify.com/artist/2rF7JpzIpgWtpVMuPouhIl
https://api.spotify.com/v1/artists/6DYBkobQCkvav5GCnfqlcC,6DYBkobQCkvav5GCnfqlcC,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb78827146d7f1e3606d9ca14b', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517478827146d7f1e3606d9ca14b', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17878827146d7f1e3606d9ca14b', 'height': 160, 'width': 160}]",Reginaldo Rossi,artist,spotify:artist:6DYBkobQCkvav5GCnfqlcC,https://open.spotify.com/artist/6DYBkobQCkvav5GCnfqlcC
https://api.spotify.com/v1/artists/3J4WurF5XyCy2ToWeCof5Y,3J4WurF5XyCy2ToWeCof5Y,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb3fd6d8f5a4bb5487ebde09dd', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051743fd6d8f5a4bb5487ebde09dd', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1783fd6d8f5a4bb5487ebde09dd', 'height': 160, 'width': 160}]",Dorgival Dantas,artist,spotify:artist:3J4WurF5XyCy2ToWeCof5Y,https://open.spotify.com/artist/3J4WurF5XyCy2ToWeCof5Y
https://api.spotify.com/v1/artists/72f733zGuCPEzCSLs9wOVi,72f733zGuCPEzCSLs9wOVi,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb4413bf66ed0b45fed46a46d5', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051744413bf66ed0b45fed46a46d5', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1784413bf66ed0b45fed46a46d5', 'height': 160, 'width': 160}]",Adriana Calcanhotto,artist,spotify:artist:72f733zGuCPEzCSLs9wOVi,https://open.spotify.com/artist/72f733zGuCPEzCSLs9wOVi
https://api.spotify.com/v1/artists/5j3htXVskZF0u8qWY5zcF8,5j3htXVskZF0u8qWY5zcF8,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebd0f1b77edadcf52574b6f47d', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174d0f1b77edadcf52574b6f47d', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178d0f1b77edadcf52574b6f47d', 'height': 160, 'width': 160}]",Fagner,artist,spotify:artist:5j3htXVskZF0u8qWY5zcF8,https://open.spotify.com/artist/5j3htXVskZF0u8qWY5zcF8
https://api.spotify.com/v1/artists/2ZofT7n9AlTKf7KDCoHGgD,2ZofT7n9AlTKf7KDCoHGgD,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb57e86ef3901f7188329d71d3', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517457e86ef3901f7188329d71d3', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17857e86ef3901f7188329d71d3', 'height': 160, 'width': 160}]",Luiz Gonzaga,artist,spotify:artist:2ZofT7n9AlTKf7KDCoHGgD,https://open.spotify.com/artist/2ZofT7n9AlTKf7KDCoHGgD
https://api.spotify.com/v1/artists/4gKqxjR0MkEKjqvO3Ctvpg,4gKqxjR0MkEKjqvO3Ctvpg,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebf75bb084ade12a0acf0403df', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174f75bb084ade12a0acf0403df', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178f75bb084ade12a0acf0403df', 'height': 160, 'width': 160}]",Os Originais Do Samba,artist,spotify:artist:4gKqxjR0MkEKjqvO3Ctvpg,https://open.spotify.com/artist/4gKqxjR0MkEKjqvO3Ctvpg
https://api.spotify.com/v1/artists/0yFvXd36g5sNKYDi0Kkvl8,0yFvXd36g5sNKYDi0Kkvl8,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb0fa315c76bb4539c6efa2966', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051740fa315c76bb4539c6efa2966', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1780fa315c76bb4539c6efa2966', 'height': 160, 'width': 160}]",Elis Regina,artist,spotify:artist:0yFvXd36g5sNKYDi0Kkvl8,https://open.spotify.com/artist/0yFvXd36g5sNKYDi0Kkvl8
https://api.spotify.com/v1/artists/0pMRwfwerzk1N0cUov351R,0pMRwfwerzk1N0cUov351R,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273b18b3c184a8ded87a0aae5da', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02b18b3c184a8ded87a0aae5da', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851b18b3c184a8ded87a0aae5da', 'height': 64, 'width': 64}]",Pixinguinha,artist,spotify:artist:0pMRwfwerzk1N0cUov351R,https://open.spotify.com/artist/0pMRwfwerzk1N0cUov351R
https://api.spotify.com/v1/artists/6rM2yY0GnVcOHMU5GD3y9E,6rM2yY0GnVcOHMU5GD3y9E,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb8abfddc3911204be23a80de0', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051748abfddc3911204be23a80de0', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1788abfddc3911204be23a80de0', 'height': 160, 'width': 160}]",Martinho Da Vila,artist,spotify:artist:6rM2yY0GnVcOHMU5GD3y9E,https://open.spotify.com/artist/6rM2yY0GnVcOHMU5GD3y9E
https://api.spotify.com/v1/artists/5NuT1t9QLRpJunogXp0Khd,5NuT1t9QLRpJunogXp0Khd,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb6f0a21fa3f316f579e39a8e8', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051746f0a21fa3f316f579e39a8e8', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1786f0a21fa3f316f579e39a8e8', 'height': 160, 'width': 160}]",Beto Barbosa,artist,spotify:artist:5NuT1t9QLRpJunogXp0Khd,https://open.spotify.com/artist/5NuT1t9QLRpJunogXp0Khd
https://api.spotify.com/v1/artists/5NWijxEZ6va05yNkTEa27t,5NWijxEZ6va05yNkTEa27t,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb5b903de7c8af9f1c70c05d27', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051745b903de7c8af9f1c70c05d27', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1785b903de7c8af9f1c70c05d27', 'height': 160, 'width': 160}]",Taciana Barros,artist,spotify:artist:5NWijxEZ6va05yNkTEa27t,https://open.spotify.com/artist/5NWijxEZ6va05yNkTEa27t
