href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/6UKz2oYWzE0ZBnciztCown,6UKz2oYWzE0ZBnciztCown,"[{'url': 'https://i.scdn.co/image/ab67616d0000b2739d94081e785e2633b76cdf98', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e029d94081e785e2633b76cdf98', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d000048519d94081e785e2633b76cdf98', 'height': 64, 'width': 64}]",Clara Nunes,artist,spotify:artist:6UKz2oYWzE0ZBnciztCown,https://open.spotify.com/artist/6UKz2oYWzE0ZBnciztCown
https://api.spotify.com/v1/artists/0hPar6ePAELiu9rYMdvMEo,0hPar6ePAELiu9rYMdvMEo,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb4c4bfaa865274651bfb5cb4b', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051744c4bfaa865274651bfb5cb4b', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1784c4bfaa865274651bfb5cb4b', 'height': 160, 'width': 160}]",Alcione,artist,spotify:artist:0hPar6ePAELiu9rYMdvMEo,https://open.spotify.com/artist/0hPar6ePAELiu9rYMdvMEo
https://api.spotify.com/v1/artists/56TkPi7rpmU8jTpkcK7FY3,56TkPi7rpmU8jTpkcK7FY3,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb565b853f9e6046aaf0c251a1', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174565b853f9e6046aaf0c251a1', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178565b853f9e6046aaf0c251a1', 'height': 160, 'width': 160}]",Beth Carvalho,artist,spotify:artist:56TkPi7rpmU8jTpkcK7FY3,https://open.spotify.com/artist/56TkPi7rpmU8jTpkcK7FY3
https://api.spotify.com/v1/artists/0yFvXd36g5sNKYDi0Kkvl8,0yFvXd36g5sNKYDi0Kkvl8,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb0fa315c76bb4539c6efa2966', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051740fa315c76bb4539c6efa2966', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1780fa315c76bb4539c6efa2966', 'height': 160, 'width': 160}]",Elis Regina,artist,spotify:artist:0yFvXd36g5sNKYDi0Kkvl8,https://open.spotify.com/artist/0yFvXd36g5sNKYDi0Kkvl8
https://api.spotify.com/v1/artists/6Q1U3z1hge970f3QhrPKcW,6Q1U3z1hge970f3QhrPKcW,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb8d93b488621e069fe23059b6', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051748d93b488621e069fe23059b6', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1788d93b488621e069fe23059b6', 'height': 160, 'width': 160}]",Dona Ivone Lara,artist,spotify:artist:6Q1U3z1hge970f3QhrPKcW,https://open.spotify.com/artist/6Q1U3z1hge970f3QhrPKcW
https://api.spotify.com/v1/artists/3qZ2n5keOAat1SoF6bHwmb,3qZ2n5keOAat1SoF6bHwmb,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebba8ad8a2315ed9148c7b1cc7', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174ba8ad8a2315ed9148c7b1cc7', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178ba8ad8a2315ed9148c7b1cc7', 'height': 160, 'width': 160}]",Zeca Pagodinho,artist,spotify:artist:3qZ2n5keOAat1SoF6bHwmb,https://open.spotify.com/artist/3qZ2n5keOAat1SoF6bHwmb
https://api.spotify.com/v1/artists/0OVOH98bZTn0lsdL7MclGw,0OVOH98bZTn0lsdL7MclGw,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebb21e81fb3b5a4a0f5961bcb0', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174b21e81fb3b5a4a0f5961bcb0', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178b21e81fb3b5a4a0f5961bcb0', 'height': 160, 'width': 160}]",Agnes Nunes,artist,spotify:artist:0OVOH98bZTn0lsdL7MclGw,https://open.spotify.com/artist/0OVOH98bZTn0lsdL7MclGw
https://api.spotify.com/v1/artists/6zizb3VEEj9224GuZlP4W4,6zizb3VEEj9224GuZlP4W4,[],Clara Nuness,artist,spotify:artist:6zizb3VEEj9224GuZlP4W4,https://open.spotify.com/artist/6zizb3VEEj9224GuZlP4W4
https://api.spotify.com/v1/artists/1xqmv2xd2bWyqU6bOC3VsY,1xqmv2xd2bWyqU6bOC3VsY,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273d837e9aa51c41cf760175d31', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02d837e9aa51c41cf760175d31', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851d837e9aa51c41cf760175d31', 'height': 64, 'width': 64}]",Clara Nunes,artist,spotify:artist:1xqmv2xd2bWyqU6bOC3VsY,https://open.spotify.com/artist/1xqmv2xd2bWyqU6bOC3VsY
https://api.spotify.com/v1/artists/0fOFkD3rXrU9hZ9xS3UhXZ,0fOFkD3rXrU9hZ9xS3UhXZ,"[{'url': 'https://i.scdn.co/image/ab67616d0000b27353f563561b1c6ab4bf416bbc', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e0253f563561b1c6ab4bf416bbc', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d0000485153f563561b1c6ab4bf416bbc', 'height': 64, 'width': 64}]",Clara Neves Fontes,artist,spotify:artist:0fOFkD3rXrU9hZ9xS3UhXZ,https://open.spotify.com/artist/0fOFkD3rXrU9hZ9xS3UhXZ
https://api.spotify.com/v1/artists/0tWtrXx0eO52k40JMojM0j,0tWtrXx0eO52k40JMojM0j,"[{'url': 'https://i.scdn.co/image/ab67616d0000b27331694b4dbae020aa3cfdc347', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e0231694b4dbae020aa3cfdc347', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d0000485131694b4dbae020aa3cfdc347', 'height': 64, 'width': 64}]",Clementina De Jesus,artist,spotify:artist:0tWtrXx0eO52k40JMojM0j,https://open.spotify.com/artist/0tWtrXx0eO52k40JMojM0j
https://api.spotify.com/v1/artists/6rM2yY0GnVcOHMU5GD3y9E,6rM2yY0GnVcOHMU5GD3y9E,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb8abfddc3911204be23a80de0', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051748abfddc3911204be23a80de0', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1788abfddc3911204be23a80de0', 'height': 160, 'width': 160}]",Martinho Da Vila,artist,spotify:artist:6rM2yY0GnVcOHMU5GD3y9E,https://open.spotify.com/artist/6rM2yY0GnVcOHMU5GD3y9E
https://api.spotify.com/v1/artists/3f5VCwd57gZsqMad28jyLV,3f5VCwd57gZsqMad28jyLV,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb6dd0de52c3b1a36a6400eb6d', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051746dd0de52c3b1a36a6400eb6d', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1786dd0de52c3b1a36a6400eb6d', 'height': 160, 'width': 160}]",Maria Bethânia,artist,spotify:artist:3f5VCwd57gZsqMad28jyLV,https://open.spotify.com/artist/3f5VCwd57gZsqMad28jyLV
https://api.spotify.com/v1/artists/2MaqyTrc7HzuYvLnvfhxIN,2MaqyTrc7HzuYvLnvfhxIN,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb9c64344780a579f8659d74e4', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051749c64344780a579f8659d74e4', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1789c64344780a579f8659d74e4', 'height': 160, 'width': 160}]",Mariene De Castro,artist,spotify:artist:2MaqyTrc7HzuYvLnvfhxIN,https://open.spotify.com/artist/2MaqyTrc7HzuYvLnvfhxIN
https://api.spotify.com/v1/artists/5gcpKqNGPhEtKW5G1ZUZPK,5gcpKqNGPhEtKW5G1ZUZPK,"[{'url': 'https://i.scdn.co/image/ab67616d0000b2736a2d9e042d4792cedce922aa', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e026a2d9e042d4792cedce922aa', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d000048516a2d9e042d4792cedce922aa', 'height': 64, 'width': 64}]",João Nogueira,artist,spotify:artist:5gcpKqNGPhEtKW5G1ZUZPK,https://open.spotify.com/artist/5gcpKqNGPhEtKW5G1ZUZPK
https://api.spotify.com/v1/artists/3CFyVJRAmjkptSfvwMljQi,3CFyVJRAmjkptSfvwMljQi,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb2e74167ed0a6e17829b4e5ae', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051742e74167ed0a6e17829b4e5ae', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1782e74167ed0a6e17829b4e5ae', 'height': 160, 'width': 160}]",Sued Nunes,artist,spotify:artist:3CFyVJRAmjkptSfvwMljQi,https://open.spotify.com/artist/3CFyVJRAmjkptSfvwMljQi
https://api.spotify.com/v1/artists/6L6rxGWItXnLf68IlHTXlP,6L6rxGWItXnLf68IlHTXlP,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb89a079113d95c38f6a3df2bd', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517489a079113d95c38f6a3df2bd', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17889a079113d95c38f6a3df2bd', 'height': 160, 'width': 160}]",Claudio Ney & Juliana,artist,spotify:artist:6L6rxGWItXnLf68IlHTXlP,https://open.spotify.com/artist/6L6rxGWItXnLf68IlHTXlP
https://api.spotify.com/v1/artists/4XdUyu7YX6zgKLi34JYQSG,4XdUyu7YX6zgKLi34JYQSG,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb7f90545ed4e7a2d4656d17b8', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051747f90545ed4e7a2d4656d17b8', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1787f90545ed4e7a2d4656d17b8', 'height': 160, 'width': 160}]",Clara Lima,artist,spotify:artist:4XdUyu7YX6zgKLi34JYQSG,https://open.spotify.com/artist/4XdUyu7YX6zgKLi34JYQSG
https://api.spotify.com/v1/artists/0Oyxj6T9BLAkfJmxEMbuFn,0Oyxj6T9BLAkfJmxEMbuFn,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb1711ebf867d2e4279185ad5a', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051741711ebf867d2e4279185ad5a', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1781711ebf867d2e4279185ad5a', 'height': 160, 'width': 160}]",Clara Valverde,artist,spotify:artist:0Oyxj6T9BLAkfJmxEMbuFn,https://open.spotify.com/artist/0Oyxj6T9BLAkfJmxEMbuFn
https://api.spotify.com/v1/artists/0sWTkzCrdEvuX7Du6MFLzc,0sWTkzCrdEvuX7Du6MFLzc,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebe51c43b1138799229663fd81', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174e51c43b1138799229663fd81', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178e51c43b1138799229663fd81', 'height': 160, 'width': 160}]",Luedji Luna,artist,spotify:artist:0sWTkzCrdEvuX7Du6MFLzc,https://open.spotify.com/artist/0sWTkzCrdEvuX7Du6MFLzc
https://api.spotify.com/v1/artists/0RSWHhBUwW7lhCqXqxKxWN,0RSWHhBUwW7lhCqXqxKxWN,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebffc0e1c1c34a367de45d81cc', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174ffc0e1c1c34a367de45d81cc', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178ffc0e1c1c34a367de45d81cc', 'height': 160, 'width': 160}]",Cartola,artist,spotify:artist:0RSWHhBUwW7lhCqXqxKxWN,https://open.spotify.com/artist/0RSWHhBUwW7lhCqXqxKxWN
https://api.spotify.com/v1/artists/0t2xdTxRXnffsmpMamH8Ls,0t2xdTxRXnffsmpMamH8Ls,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb4a115e8bfaa803b6d6a65955', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051744a115e8bfaa803b6d6a65955', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1784a115e8bfaa803b6d6a65955', 'height': 160, 'width': 160}]",Paulinho Da Viola,artist,spotify:artist:0t2xdTxRXnffsmpMamH8Ls,https://open.spotify.com/artist/0t2xdTxRXnffsmpMamH8Ls
https://api.spotify.com/v1/artists/32GW4h2xb3glY99mWLjwlG,32GW4h2xb3glY99mWLjwlG,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb2a3bb273e1da13acf42d5151', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051742a3bb273e1da13acf42d5151', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1782a3bb273e1da13acf42d5151', 'height': 160, 'width': 160}]",Benito Di Paula,artist,spotify:artist:32GW4h2xb3glY99mWLjwlG,https://open.spotify.com/artist/32GW4h2xb3glY99mWLjwlG
https://api.spotify.com/v1/artists/5T2UOU9fV8RcUgLH3b6TTN,5T2UOU9fV8RcUgLH3b6TTN,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273a72b9a13d90a56e4b52ef6ef', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02a72b9a13d90a56e4b52ef6ef', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851a72b9a13d90a56e4b52ef6ef', 'height': 64, 'width': 64}]",Agepê,artist,spotify:artist:5T2UOU9fV8RcUgLH3b6TTN,https://open.spotify.com/artist/5T2UOU9fV8RcUgLH3b6TTN
https://api.spotify.com/v1/artists/4Fxrqwvxsyb9yACFnD8pHP,4Fxrqwvxsyb9yACFnD8pHP,[],Clara Gessinger,artist,spotify:artist:4Fxrqwvxsyb9yACFnD8pHP,https://open.spotify.com/artist/4Fxrqwvxsyb9yACFnD8pHP
https://api.spotify.com/v1/artists/6gSq4WUwOwojid2PSdq46Z,6gSq4WUwOwojid2PSdq46Z,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb4f60c980db4c9b3179b71c0d', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051744f60c980db4c9b3179b71c0d', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1784f60c980db4c9b3179b71c0d', 'height': 160, 'width': 160}]",Zeca Veloso,artist,spotify:artist:6gSq4WUwOwojid2PSdq46Z,https://open.spotify.com/artist/6gSq4WUwOwojid2PSdq46Z
https://api.spotify.com/v1/artists/5Rxz1EE4Jj08mu40vlrqHv,5Rxz1EE4Jj08mu40vlrqHv,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb0286cb54eb3a022eb3d38260', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051740286cb54eb3a022eb3d38260', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1780286cb54eb3a022eb3d38260', 'height': 160, 'width': 160}]",Sandra De Sá,artist,spotify:artist:5Rxz1EE4Jj08mu40vlrqHv,https://open.spotify.com/artist/5Rxz1EE4Jj08mu40vlrqHv
https://api.spotify.com/v1/artists/7LunbFWIm3RPQpywjOSSd8,7LunbFWIm3RPQpywjOSSd8,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb8fe11088a1ab3826cec724da', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051748fe11088a1ab3826cec724da', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1788fe11088a1ab3826cec724da', 'height': 160, 'width': 160}]",Zeca Baleiro,artist,spotify:artist:7LunbFWIm3RPQpywjOSSd8,https://open.spotify.com/artist/7LunbFWIm3RPQpywjOSSd8
https://api.spotify.com/v1/artists/13A9x5VINTOaVnYxK4rbNQ,13A9x5VINTOaVnYxK4rbNQ,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebb4e48d841280cd2f041c6c6d', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174b4e48d841280cd2f041c6c6d', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178b4e48d841280cd2f041c6c6d', 'height': 160, 'width': 160}]",Clau,artist,spotify:artist:13A9x5VINTOaVnYxK4rbNQ,https://open.spotify.com/artist/13A9x5VINTOaVnYxK4rbNQ
https://api.spotify.com/v1/artists/5fsVgeMY2QWGXbNW6rIjgN,5fsVgeMY2QWGXbNW6rIjgN,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebd017ffad786b6f5612fbf157', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174d017ffad786b6f5612fbf157', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178d017ffad786b6f5612fbf157', 'height': 160, 'width': 160}]",Carla Sol,artist,spotify:artist:5fsVgeMY2QWGXbNW6rIjgN,https://open.spotify.com/artist/5fsVgeMY2QWGXbNW6rIjgN
