href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/3f5VCwd57gZsqMad28jyLV,3f5VCwd57gZsqMad28jyLV,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb6dd0de52c3b1a36a6400eb6d', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051746dd0de52c3b1a36a6400eb6d', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1786dd0de52c3b1a36a6400eb6d', 'height': 160, 'width': 160}]",Maria Bethânia,artist,spotify:artist:3f5VCwd57gZsqMad28jyLV,https://open.spotify.com/artist/3f5VCwd57gZsqMad28jyLV
https://api.spotify.com/v1/artists/1b8kpp4DUwt1hWaxTiWQhD,1b8kpp4DUwt1hWaxTiWQhD,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb9ba799363b79e9a73b2c303a', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051749ba799363b79e9a73b2c303a', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1789ba799363b79e9a73b2c303a', 'height': 160, 'width': 160}]",Gal Costa,artist,spotify:artist:1b8kpp4DUwt1hWaxTiWQhD,https://open.spotify.com/artist/1b8kpp4DUwt1hWaxTiWQhD
https://api.spotify.com/v1/artists/6tOsSffQQIXmK8TqsDck8t,6tOsSffQQIXmK8TqsDck8t,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb1f33f0eccfef05940a1ef879', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051741f33f0eccfef05940a1ef879', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1781f33f0eccfef05940a1ef879', 'height': 160, 'width': 160}]",Chico Buarque,artist,spotify:artist:6tOsSffQQIXmK8TqsDck8t,https://open.spotify.com/artist/6tOsSffQQIXmK8TqsDck8t
https://api.spotify.com/v1/artists/7HGNYPmbDrMkylWqeFCOIQ,7HGNYPmbDrMkylWqeFCOIQ,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebcffb538293045411d2b51b8a', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174cffb538293045411d2b51b8a', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178cffb538293045411d2b51b8a', 'height': 160, 'width': 160}]",Caetano Veloso,artist,spotify:artist:7HGNYPmbDrMkylWqeFCOIQ,https://open.spotify.com/artist/7HGNYPmbDrMkylWqeFCOIQ
https://api.spotify.com/v1/artists/0hTtpAlcdRMQPzjZ0Eh4F1,0hTtpAlcdRMQPzjZ0Eh4F1,[],Maria Bethânia,artist,spotify:artist:0hTtpAlcdRMQPzjZ0Eh4F1,https://open.spotify.com/artist/0hTtpAlcdRMQPzjZ0Eh4F1
https://api.spotify.com/v1/artists/5rrmaoBXZ7Jcs4Qb77j0YA,5rrmaoBXZ7Jcs4Qb77j0YA,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebe699e9c224d7602835111180', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174e699e9c224d7602835111180', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178e699e9c224d7602835111180', 'height': 160, 'width': 160}]",Djavan,artist,spotify:artist:5rrmaoBXZ7Jcs4Qb77j0YA,https://open.spotify.com/artist/5rrmaoBXZ7Jcs4Qb77j0YA
https://api.spotify.com/v1/artists/57S3WgVQvPjU3M2UV8UoOQ,57S3WgVQvPjU3M2UV8UoOQ,[],Maria Bethania,artist,spotify:artist:57S3WgVQvPjU3M2UV8UoOQ,https://open.spotify.com/artist/57S3WgVQvPjU3M2UV8UoOQ
https://api.spotify.com/v1/artists/1C8UBSZs5rOPfxuxTMS6OI,1C8UBSZs5rOPfxuxTMS6OI,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb1e974b9cd821cee4a897d0eb', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051741e974b9cd821cee4a897d0eb', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1781e974b9cd821cee4a897d0eb', 'height': 160, 'width': 160}]",Maria Rita,artist,spotify:artist:1C8UBSZs5rOPfxuxTMS6OI,https://open.spotify.com/artist/1C8UBSZs5rOPfxuxTMS6OI
https://api.spotify.com/v1/artists/7bmt4MWkWzcNPjM4SFInXJ,7bmt4MWkWzcNPjM4SFInXJ,[],Maria Bethânia,artist,spotify:artist:7bmt4MWkWzcNPjM4SFInXJ,https://open.spotify.com/artist/7bmt4MWkWzcNPjM4SFInXJ
https://api.spotify.com/v1/artists/42xuplTk96Te3yfnZJGwma,42xuplTk96Te3yfnZJGwma,[],Maria Bethânia,artist,spotify:artist:42xuplTk96Te3yfnZJGwma,https://open.spotify.com/artist/42xuplTk96Te3yfnZJGwma
