href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/1PwOU6fFbmaGkK3wkbb8fU,1PwOU6fFbmaGkK3wkbb8fU,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebabc390d0dfc8c9d31f413518', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174abc390d0dfc8c9d31f413518', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178abc390d0dfc8c9d31f413518', 'height': 160, 'width': 160}]",Cazuza,artist,spotify:artist:1PwOU6fFbmaGkK3wkbb8fU,https://open.spotify.com/artist/1PwOU6fFbmaGkK3wkbb8fU
https://api.spotify.com/v1/artists/6tw6EpC9RgmSRZiZg0n22t,6tw6EpC9RgmSRZiZg0n22t,"[{'url': 'https://i.scdn.co/image/cd410bc7c6e3591f65d9c9ee9516d2e96acfed42', 'height': 1000, 'width': 1000}, {'url': 'https://i.scdn.co/image/d0a544a5f9e0a548536b9bc0449e50137e0dd08c', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/3ec7aa085b47711065443477cbd83aa39a056f13', 'height': 200, 'width': 200}, {'url': 'https://i.scdn.co/image/183df4c68c2028e4a59abc49c8e659429086f254', 'height': 64, 'width': 64}]",Legião Urbana,artist,spotify:artist:6tw6EpC9RgmSRZiZg0n22t,https://open.spotify.com/artist/6tw6EpC9RgmSRZiZg0n22t
https://api.spotify.com/v1/artists/5zq0SGWxrmzpTSXkBEQzMj,5zq0SGWxrmzpTSXkBEQzMj,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb0a99240de57ca26882e62628', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051740a99240de57ca26882e62628', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1780a99240de57ca26882e62628', 'height': 160, 'width': 160}]",Barão Vermelho,artist,spotify:artist:5zq0SGWxrmzpTSXkBEQzMj,https://open.spotify.com/artist/5zq0SGWxrmzpTSXkBEQzMj
https://api.spotify.com/v1/artists/2SFIMUkCdZowbeisskDdhn,2SFIMUkCdZowbeisskDdhn,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebe1692ccde710b6a64884e87f', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174e1692ccde710b6a64884e87f', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178e1692ccde710b6a64884e87f', 'height': 160, 'width': 160}]",Ney Matogrosso,artist,spotify:artist:2SFIMUkCdZowbeisskDdhn,https://open.spotify.com/artist/2SFIMUkCdZowbeisskDdhn
https://api.spotify.com/v1/artists/10naVTwNjE50daQVrN0bXh,10naVTwNjE50daQVrN0bXh,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb173e5ef74a4a36decb5dc213', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174173e5ef74a4a36decb5dc213', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178173e5ef74a4a36decb5dc213', 'height': 160, 'width': 160}]",Cássia Eller,artist,spotify:artist:10naVTwNjE50daQVrN0bXh,https://open.spotify.com/artist/10naVTwNjE50daQVrN0bXh
https://api.spotify.com/v1/artists/2euX7vCVnJy3TVEGfc0RCl,2euX7vCVnJy3TVEGfc0RCl,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb879299d75c2461aea6d2b998', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174879299d75c2461aea6d2b998', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178879299d75c2461aea6d2b998', 'height': 160, 'width': 160}]",Titãs,artist,spotify:artist:2euX7vCVnJy3TVEGfc0RCl,https://open.spotify.com/artist/2euX7vCVnJy3TVEGfc0RCl
https://api.spotify.com/v1/artists/7L1yPJJIGGnYrbVqSSLq9N,7L1yPJJIGGnYrbVqSSLq9N,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebd9c641a1e10059ab4f8508fc', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174d9c641a1e10059ab4f8508fc', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178d9c641a1e10059ab4f8508fc', 'height': 160, 'width': 160}]",Mc Cazuza SP,artist,spotify:artist:7L1yPJJIGGnYrbVqSSLq9N,https://open.spotify.com/artist/7L1yPJJIGGnYrbVqSSLq9N
https://api.spotify.com/v1/artists/00yp5fxxvQh5DRup6R2X8i,00yp5fxxvQh5DRup6R2X8i,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebf2da862f0f9faa7280446a8b', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174f2da862f0f9faa7280446a8b', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178f2da862f0f9faa7280446a8b', 'height': 160, 'width': 160}]",MC Cazuza,artist,spotify:artist:00yp5fxxvQh5DRup6R2X8i,https://open.spotify.com/artist/00yp5fxxvQh5DRup6R2X8i
https://api.spotify.com/v1/artists/77nYYJ2uv9JTxUHra01wXh,77nYYJ2uv9JTxUHra01wXh,"[{'url': 'https://i.scdn.co/image/ab67616d0000b2736eac33fb0b310007a89ecea0', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e026eac33fb0b310007a89ecea0', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d000048516eac33fb0b310007a89ecea0', 'height': 64, 'width': 64}]",Antenor Cazuza,artist,spotify:artist:77nYYJ2uv9JTxUHra01wXh,https://open.spotify.com/artist/77nYYJ2uv9JTxUHra01wXh
https://api.spotify.com/v1/artists/1tjr6bh7SnVwBLhSmiN02e,1tjr6bh7SnVwBLhSmiN02e,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb06e8947366b4a60f0a67c254', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517406e8947366b4a60f0a67c254', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17806e8947366b4a60f0a67c254', 'height': 160, 'width': 160}]",Cazzafura,artist,spotify:artist:1tjr6bh7SnVwBLhSmiN02e,https://open.spotify.com/artist/1tjr6bh7SnVwBLhSmiN02e
https://api.spotify.com/v1/artists/7dnT2FUXhjirperXaH22IJ,7dnT2FUXhjirperXaH22IJ,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb4127fac942e5106e3c953c63', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051744127fac942e5106e3c953c63', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1784127fac942e5106e3c953c63', 'height': 160, 'width': 160}]",Rita Lee,artist,spotify:artist:7dnT2FUXhjirperXaH22IJ,https://open.spotify.com/artist/7dnT2FUXhjirperXaH22IJ
https://api.spotify.com/v1/artists/0jOs0wnXCu1bGGP7kh5uIu,0jOs0wnXCu1bGGP7kh5uIu,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebaa594f902dd3a6704715933f', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174aa594f902dd3a6704715933f', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178aa594f902dd3a6704715933f', 'height': 160, 'width': 160}]",Tim Maia,artist,spotify:artist:0jOs0wnXCu1bGGP7kh5uIu,https://open.spotify.com/artist/0jOs0wnXCu1bGGP7kh5uIu
https://api.spotify.com/v1/artists/0A1oy7PC7fdzURgaLaWkL1,0A1oy7PC7fdzURgaLaWkL1,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb0ecd444749b59868afd385b6', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051740ecd444749b59868afd385b6', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1780ecd444749b59868afd385b6', 'height': 160, 'width': 160}]",Lulu Santos,artist,spotify:artist:0A1oy7PC7fdzURgaLaWkL1,https://open.spotify.com/artist/0A1oy7PC7fdzURgaLaWkL1
https://api.spotify.com/v1/artists/7jrRQZg4FZq6dwpi3baKcu,7jrRQZg4FZq6dwpi3baKcu,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb9f0c70d55c26e9773d00b7b1', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051749f0c70d55c26e9773d00b7b1', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1789f0c70d55c26e9773d00b7b1', 'height': 160, 'width': 160}]",Raul Seixas,artist,spotify:artist:7jrRQZg4FZq6dwpi3baKcu,https://open.spotify.com/artist/7jrRQZg4FZq6dwpi3baKcu
https://api.spotify.com/v1/artists/3WVjDclrbHsxjxhiOqHdnw,3WVjDclrbHsxjxhiOqHdnw,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebd6b8f6d66ca6eb11ca82989c', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174d6b8f6d66ca6eb11ca82989c', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178d6b8f6d66ca6eb11ca82989c', 'height': 160, 'width': 160}]",Frejat,artist,spotify:artist:3WVjDclrbHsxjxhiOqHdnw,https://open.spotify.com/artist/3WVjDclrbHsxjxhiOqHdnw
https://api.spotify.com/v1/artists/7n1XMwvxPf10t4OX6h6Ufy,7n1XMwvxPf10t4OX6h6Ufy,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebb2cbcafdb861bc51a70cabaa', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174b2cbcafdb861bc51a70cabaa', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178b2cbcafdb861bc51a70cabaa', 'height': 160, 'width': 160}]",Nando Reis,artist,spotify:artist:7n1XMwvxPf10t4OX6h6Ufy,https://open.spotify.com/artist/7n1XMwvxPf10t4OX6h6Ufy
