href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/3QLc39WR4dQAN1SgierGgE,3QLc39WR4dQAN1SgierGgE,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb4b599e683f36a482b69ad371', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051744b599e683f36a482b69ad371', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1784b599e683f36a482b69ad371', 'height': 160, 'width': 160}]",Renato Russo,artist,spotify:artist:3QLc39WR4dQAN1SgierGgE,https://open.spotify.com/artist/3QLc39WR4dQAN1SgierGgE
https://api.spotify.com/v1/artists/6tw6EpC9RgmSRZiZg0n22t,6tw6EpC9RgmSRZiZg0n22t,"[{'url': 'https://i.scdn.co/image/cd410bc7c6e3591f65d9c9ee9516d2e96acfed42', 'height': 1000, 'width': 1000}, {'url': 'https://i.scdn.co/image/d0a544a5f9e0a548536b9bc0449e50137e0dd08c', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/3ec7aa085b47711065443477cbd83aa39a056f13', 'height': 200, 'width': 200}, {'url': 'https://i.scdn.co/image/183df4c68c2028e4a59abc49c8e659429086f254', 'height': 64, 'width': 64}]",Legião Urbana,artist,spotify:artist:6tw6EpC9RgmSRZiZg0n22t,https://open.spotify.com/artist/6tw6EpC9RgmSRZiZg0n22t
https://api.spotify.com/v1/artists/3AKw7zBM8BL2HAydYsmgHp,3AKw7zBM8BL2HAydYsmgHp,[],Renato Russo,artist,spotify:artist:3AKw7zBM8BL2HAydYsmgHp,https://open.spotify.com/artist/3AKw7zBM8BL2HAydYsmgHp
https://api.spotify.com/v1/artists/2e4nwiX8ZCU09LGLOpeqTH,2e4nwiX8ZCU09LGLOpeqTH,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb13bfc3576c7b50e25a1fbc66', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517413bfc3576c7b50e25a1fbc66', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17813bfc3576c7b50e25a1fbc66', 'height': 160, 'width': 160}]",Laura Pausini,artist,spotify:artist:2e4nwiX8ZCU09LGLOpeqTH,https://open.spotify.com/artist/2e4nwiX8ZCU09LGLOpeqTH
https://api.spotify.com/v1/artists/1PwOU6fFbmaGkK3wkbb8fU,1PwOU6fFbmaGkK3wkbb8fU,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebabc390d0dfc8c9d31f413518', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174abc390d0dfc8c9d31f413518', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178abc390d0dfc8c9d31f413518', 'height': 160, 'width': 160}]",Cazuza,artist,spotify:artist:1PwOU6fFbmaGkK3wkbb8fU,https://open.spotify.com/artist/1PwOU6fFbmaGkK3wkbb8fU
https://api.spotify.com/v1/artists/4Z0yuwHVJBROVZqFpTIr0d,4Z0yuwHVJBROVZqFpTIr0d,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb9ec80b4c392df19ee1f48145', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051749ec80b4c392df19ee1f48145', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1789ec80b4c392df19ee1f48145', 'height': 160, 'width': 160}]",Capital Inicial,artist,spotify:artist:4Z0yuwHVJBROVZqFpTIr0d,https://open.spotify.com/artist/4Z0yuwHVJBROVZqFpTIr0d
https://api.spotify.com/v1/artists/0FIgaYFg1Vp5TSLm2xwtLI,0FIgaYFg1Vp5TSLm2xwtLI,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb1cebb18c0c6fcfe6d23df286', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051741cebb18c0c6fcfe6d23df286', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1781cebb18c0c6fcfe6d23df286', 'height': 160, 'width': 160}]",Renato Teixeira,artist,spotify:artist:0FIgaYFg1Vp5TSLm2xwtLI,https://open.spotify.com/artist/0FIgaYFg1Vp5TSLm2xwtLI
https://api.spotify.com/v1/artists/4x7Z2CYpH3iXEIFVTJ2U96,4x7Z2CYpH3iXEIFVTJ2U96,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273fce5e3e59747ee523914385e', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02fce5e3e59747ee523914385e', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851fce5e3e59747ee523914385e', 'height': 64, 'width': 64}]",Renato Pessoa,artist,spotify:artist:4x7Z2CYpH3iXEIFVTJ2U96,https://open.spotify.com/artist/4x7Z2CYpH3iXEIFVTJ2U96
https://api.spotify.com/v1/artists/2bRmiOcLOpBKxnMRZ9Nqiv,2bRmiOcLOpBKxnMRZ9Nqiv,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb27539f2bcff561b526d6de19', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517427539f2bcff561b526d6de19', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17827539f2bcff561b526d6de19', 'height': 160, 'width': 160}]",Renato da Rocinha,artist,spotify:artist:2bRmiOcLOpBKxnMRZ9Nqiv,https://open.spotify.com/artist/2bRmiOcLOpBKxnMRZ9Nqiv
https://api.spotify.com/v1/artists/73uO0irhYkEsOdWjBmAl3f,73uO0irhYkEsOdWjBmAl3f,"[{'url': 'https://i.scdn.co/image/6a1b7511b6de5294f83925a5aaaa9c4b3aedb6ef', 'height': 1000, 'width': 1000}, {'url': 'https://i.scdn.co/image/ef1e86360fc3bd659470e71a0fb26ee9be1a11d6', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/7528cf757e872c7481e0aee78337a3fc83c5220b', 'height': 200, 'width': 200}, {'url': 'https://i.scdn.co/image/b0c64481065408a4868d602d5b7258bd1b26dd50', 'height': 64, 'width': 64}]",Renato Bruson,artist,spotify:artist:73uO0irhYkEsOdWjBmAl3f,https://open.spotify.com/artist/73uO0irhYkEsOdWjBmAl3f
