href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/7jrRQZg4FZq6dwpi3baKcu,7jrRQZg4FZq6dwpi3baKcu,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb9f0c70d55c26e9773d00b7b1', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051749f0c70d55c26e9773d00b7b1', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1789f0c70d55c26e9773d00b7b1', 'height': 160, 'width': 160}]",Raul Seixas,artist,spotify:artist:7jrRQZg4FZq6dwpi3baKcu,https://open.spotify.com/artist/7jrRQZg4FZq6dwpi3baKcu
https://api.spotify.com/v1/artists/6tw6EpC9RgmSRZiZg0n22t,6tw6EpC9RgmSRZiZg0n22t,"[{'url': 'https://i.scdn.co/image/cd410bc7c6e3591f65d9c9ee9516d2e96acfed42', 'height': 1000, 'width': 1000}, {'url': 'https://i.scdn.co/image/d0a544a5f9e0a548536b9bc0449e50137e0dd08c', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/3ec7aa085b47711065443477cbd83aa39a056f13', 'height': 200, 'width': 200}, {'url': 'https://i.scdn.co/image/183df4c68c2028e4a59abc49c8e659429086f254', 'height': 64, 'width': 64}]",Legião Urbana,artist,spotify:artist:6tw6EpC9RgmSRZiZg0n22t,https://open.spotify.com/artist/6tw6EpC9RgmSRZiZg0n22t
https://api.spotify.com/v1/artists/1on7ZQ2pvgeQF4vmIA09x5,1on7ZQ2pvgeQF4vmIA09x5,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb67bc48f32d1cc16497865361', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517467bc48f32d1cc16497865361', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17867bc48f32d1cc16497865361', 'height': 160, 'width': 160}]",Charlie Brown Jr.,artist,spotify:artist:1on7ZQ2pvgeQF4vmIA09x5,https://open.spotify.com/artist/1on7ZQ2pvgeQF4vmIA09x5
https://api.spotify.com/v1/artists/7JoWcJHDOG58JYTe6d400S,7JoWcJHDOG58JYTe6d400S,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb607a7b4dcd5555814031c84e', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174607a7b4dcd5555814031c84e', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178607a7b4dcd5555814031c84e', 'height': 160, 'width': 160}]",Zé Ramalho,artist,spotify:artist:7JoWcJHDOG58JYTe6d400S,https://open.spotify.com/artist/7JoWcJHDOG58JYTe6d400S
https://api.spotify.com/v1/artists/2euX7vCVnJy3TVEGfc0RCl,2euX7vCVnJy3TVEGfc0RCl,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb879299d75c2461aea6d2b998', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174879299d75c2461aea6d2b998', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178879299d75c2461aea6d2b998', 'height': 160, 'width': 160}]",Titãs,artist,spotify:artist:2euX7vCVnJy3TVEGfc0RCl,https://open.spotify.com/artist/2euX7vCVnJy3TVEGfc0RCl
https://api.spotify.com/v1/artists/4C4kpaAdp6aKSkguw40SsU,4C4kpaAdp6aKSkguw40SsU,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb2b61503716c9cbb86f6a0658', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051742b61503716c9cbb86f6a0658', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1782b61503716c9cbb86f6a0658', 'height': 160, 'width': 160}]",Skank,artist,spotify:artist:4C4kpaAdp6aKSkguw40SsU,https://open.spotify.com/artist/4C4kpaAdp6aKSkguw40SsU
https://api.spotify.com/v1/artists/0A1oy7PC7fdzURgaLaWkL1,0A1oy7PC7fdzURgaLaWkL1,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb0ecd444749b59868afd385b6', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051740ecd444749b59868afd385b6', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1780ecd444749b59868afd385b6', 'height': 160, 'width': 160}]",Lulu Santos,artist,spotify:artist:0A1oy7PC7fdzURgaLaWkL1,https://open.spotify.com/artist/0A1oy7PC7fdzURgaLaWkL1
https://api.spotify.com/v1/artists/5JXhkyafynxCvxtov7C1PV,5JXhkyafynxCvxtov7C1PV,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebafae170b6ddc09d155ace3af', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174afae170b6ddc09d155ace3af', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178afae170b6ddc09d155ace3af', 'height': 160, 'width': 160}]",Bruno & Marrone,artist,spotify:artist:5JXhkyafynxCvxtov7C1PV,https://open.spotify.com/artist/5JXhkyafynxCvxtov7C1PV
https://api.spotify.com/v1/artists/7gfkYbxpguEc9bm6m8TpAr,7gfkYbxpguEc9bm6m8TpAr,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebd5fcda04e60405d7e5ca3fb1', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174d5fcda04e60405d7e5ca3fb1', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178d5fcda04e60405d7e5ca3fb1', 'height': 160, 'width': 160}]",Chitãozinho & Xororó,artist,spotify:artist:7gfkYbxpguEc9bm6m8TpAr,https://open.spotify.com/artist/7gfkYbxpguEc9bm6m8TpAr
https://api.spotify.com/v1/artists/6v9mOvnl27sFdIyzwL5aDB,6v9mOvnl27sFdIyzwL5aDB,[],Jay Vaquer- Raul Seixas,artist,spotify:artist:6v9mOvnl27sFdIyzwL5aDB,https://open.spotify.com/artist/6v9mOvnl27sFdIyzwL5aDB
