href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/0C8HhyOa7zfzIl3gmPjY52,0C8HhyOa7zfzIl3gmPjY52,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb3108834ef947e4747ed68bcf', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051743108834ef947e4747ed68bcf', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1783108834ef947e4747ed68bcf', 'height': 160, 'width': 160}]",Belchior,artist,spotify:artist:0C8HhyOa7zfzIl3gmPjY52,https://open.spotify.com/artist/0C8HhyOa7zfzIl3gmPjY52
https://api.spotify.com/v1/artists/0yFvXd36g5sNKYDi0Kkvl8,0yFvXd36g5sNKYDi0Kkvl8,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb0fa315c76bb4539c6efa2966', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051740fa315c76bb4539c6efa2966', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1780fa315c76bb4539c6efa2966', 'height': 160, 'width': 160}]",Elis Regina,artist,spotify:artist:0yFvXd36g5sNKYDi0Kkvl8,https://open.spotify.com/artist/0yFvXd36g5sNKYDi0Kkvl8
https://api.spotify.com/v1/artists/7JoWcJHDOG58JYTe6d400S,7JoWcJHDOG58JYTe6d400S,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb607a7b4dcd5555814031c84e', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174607a7b4dcd5555814031c84e', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178607a7b4dcd5555814031c84e', 'height': 160, 'width': 160}]",Zé Ramalho,artist,spotify:artist:7JoWcJHDOG58JYTe6d400S,https://open.spotify.com/artist/7JoWcJHDOG58JYTe6d400S
https://api.spotify.com/v1/artists/7jrRQZg4FZq6dwpi3baKcu,7jrRQZg4FZq6dwpi3baKcu,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb9f0c70d55c26e9773d00b7b1', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051749f0c70d55c26e9773d00b7b1', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1789f0c70d55c26e9773d00b7b1', 'height': 160, 'width': 160}]",Raul Seixas,artist,spotify:artist:7jrRQZg4FZq6dwpi3baKcu,https://open.spotify.com/artist/7jrRQZg4FZq6dwpi3baKcu
https://api.spotify.com/v1/artists/5j3htXVskZF0u8qWY5zcF8,5j3htXVskZF0u8qWY5zcF8,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebd0f1b77edadcf52574b6f47d', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174d0f1b77edadcf52574b6f47d', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178d0f1b77edadcf52574b6f47d', 'height': 160, 'width': 160}]",Fagner,artist,spotify:artist:5j3htXVskZF0u8qWY5zcF8,https://open.spotify.com/artist/5j3htXVskZF0u8qWY5zcF8
https://api.spotify.com/v1/artists/1tQBzbRGo3iuhdsuBour7g,1tQBzbRGo3iuhdsuBour7g,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb83ffb69364f57a55c02a2cdb', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517483ffb69364f57a55c02a2cdb', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17883ffb69364f57a55c02a2cdb', 'height': 160, 'width': 160}]",DJ Belchior,artist,spotify:artist:1tQBzbRGo3iuhdsuBour7g,https://open.spotify.com/artist/1tQBzbRGo3iuhdsuBour7g
https://api.spotify.com/v1/artists/559vxOLTzlAv0zB77JMcdG,559vxOLTzlAv0zB77JMcdG,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebddf1217b512aecab728c41ab', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174ddf1217b512aecab728c41ab', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178ddf1217b512aecab728c41ab', 'height': 160, 'width': 160}]",Alceu Valença,artist,spotify:artist:559vxOLTzlAv0zB77JMcdG,https://open.spotify.com/artist/559vxOLTzlAv0zB77JMcdG
https://api.spotify.com/v1/artists/1qs0uaRFjeZ8Pc3eBWQkHr,1qs0uaRFjeZ8Pc3eBWQkHr,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb481a86ec5b46fae573098fbb', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174481a86ec5b46fae573098fbb', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178481a86ec5b46fae573098fbb', 'height': 160, 'width': 160}]",Vannick Belchior,artist,spotify:artist:1qs0uaRFjeZ8Pc3eBWQkHr,https://open.spotify.com/artist/1qs0uaRFjeZ8Pc3eBWQkHr
https://api.spotify.com/v1/artists/2aVYWGuX6JvaKG7pu7wa0K,2aVYWGuX6JvaKG7pu7wa0K,[],"Belchior, Edward Larbanois, Mario Carrero, Laura Canoura, Paulo da Fonseca",artist,spotify:artist:2aVYWGuX6JvaKG7pu7wa0K,https://open.spotify.com/artist/2aVYWGuX6JvaKG7pu7wa0K
https://api.spotify.com/v1/artists/3KFmT1zJjxXdQTbsVHVm8c,3KFmT1zJjxXdQTbsVHVm8c,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebf664dba09e961fec9fc461b4', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174f664dba09e961fec9fc461b4', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178f664dba09e961fec9fc461b4', 'height': 160, 'width': 160}]",Thales Belchior,artist,spotify:artist:3KFmT1zJjxXdQTbsVHVm8c,https://open.spotify.com/artist/3KFmT1zJjxXdQTbsVHVm8c
