href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/0rSTXALHu0EKAawPLBdODH,0rSTXALHu0EKAawPLBdODH,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebdf680c991c829899faf1283c', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174df680c991c829899faf1283c', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178df680c991c829899faf1283c', 'height': 160, 'width': 160}]",Marisa Monte,artist,spotify:artist:0rSTXALHu0EKAawPLBdODH,https://open.spotify.com/artist/0rSTXALHu0EKAawPLBdODH
https://api.spotify.com/v1/artists/4laQz4PaKeh2Hu6QL6evVD,4laQz4PaKeh2Hu6QL6evVD,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebcaf37072c83daf4d76a7ee42', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174caf37072c83daf4d76a7ee42', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178caf37072c83daf4d76a7ee42', 'height': 160, 'width': 160}]",Tribalistas,artist,spotify:artist:4laQz4PaKeh2Hu6QL6evVD,https://open.spotify.com/artist/4laQz4PaKeh2Hu6QL6evVD
https://api.spotify.com/v1/artists/74sSQicRhTjN3XpYr9hsgz,74sSQicRhTjN3XpYr9hsgz,[],Marisa Monte,artist,spotify:artist:74sSQicRhTjN3XpYr9hsgz,https://open.spotify.com/artist/74sSQicRhTjN3XpYr9hsgz
https://api.spotify.com/v1/artists/57pVvBwa3ZCR9LsVlkLXj7,57pVvBwa3ZCR9LsVlkLXj7,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb0726b3a2a4db36495765f020', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051740726b3a2a4db36495765f020', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1780726b3a2a4db36495765f020', 'height': 160, 'width': 160}]",Vanessa Da Mata,artist,spotify:artist:57pVvBwa3ZCR9LsVlkLXj7,https://open.spotify.com/artist/57pVvBwa3ZCR9LsVlkLXj7
https://api.spotify.com/v1/artists/1b8kpp4DUwt1hWaxTiWQhD,1b8kpp4DUwt1hWaxTiWQhD,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb9ba799363b79e9a73b2c303a', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051749ba799363b79e9a73b2c303a', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1789ba799363b79e9a73b2c303a', 'height': 160, 'width': 160}]",Gal Costa,artist,spotify:artist:1b8kpp4DUwt1hWaxTiWQhD,https://open.spotify.com/artist/1b8kpp4DUwt1hWaxTiWQhD
https://api.spotify.com/v1/artists/10naVTwNjE50daQVrN0bXh,10naVTwNjE50daQVrN0bXh,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb173e5ef74a4a36decb5dc213', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174173e5ef74a4a36decb5dc213', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178173e5ef74a4a36decb5dc213', 'height': 160, 'width': 160}]",Cássia Eller,artist,spotify:artist:10naVTwNjE50daQVrN0bXh,https://open.spotify.com/artist/10naVTwNjE50daQVrN0bXh
https://api.spotify.com/v1/artists/7n1XMwvxPf10t4OX6h6Ufy,7n1XMwvxPf10t4OX6h6Ufy,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebb2cbcafdb861bc51a70cabaa', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174b2cbcafdb861bc51a70cabaa', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178b2cbcafdb861bc51a70cabaa', 'height': 160, 'width': 160}]",Nando Reis,artist,spotify:artist:7n1XMwvxPf10t4OX6h6Ufy,https://open.spotify.com/artist/7n1XMwvxPf10t4OX6h6Ufy
https://api.spotify.com/v1/artists/4C4kpaAdp6aKSkguw40SsU,4C4kpaAdp6aKSkguw40SsU,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb2b61503716c9cbb86f6a0658', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051742b61503716c9cbb86f6a0658', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1782b61503716c9cbb86f6a0658', 'height': 160, 'width': 160}]",Skank,artist,spotify:artist:4C4kpaAdp6aKSkguw40SsU,https://open.spotify.com/artist/4C4kpaAdp6aKSkguw40SsU
https://api.spotify.com/v1/artists/0brh6ZQsmYVKujNHGd5N0p,0brh6ZQsmYVKujNHGd5N0p,[],Marisa Monte,artist,spotify:artist:0brh6ZQsmYVKujNHGd5N0p,https://open.spotify.com/artist/0brh6ZQsmYVKujNHGd5N0p
https://api.spotify.com/v1/artists/5mHzLEsMGDrlO5cfeUqhw5,5mHzLEsMGDrlO5cfeUqhw5,[],Marisa Monte,artist,spotify:artist:5mHzLEsMGDrlO5cfeUqhw5,https://open.spotify.com/artist/5mHzLEsMGDrlO5cfeUqhw5
