href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/7dzq55YG3wjViqexDwiycQ,7dzq55YG3wjViqexDwiycQ,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebc99ed3f2af2a44f0e200e22a', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174c99ed3f2af2a44f0e200e22a', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178c99ed3f2af2a44f0e200e22a', 'height': 160, 'width': 160}]",Ivete Sangalo,artist,spotify:artist:7dzq55YG3wjViqexDwiycQ,https://open.spotify.com/artist/7dzq55YG3wjViqexDwiycQ
https://api.spotify.com/v1/artists/63cUJLTWA39KcObFNedXZT,63cUJLTWA39KcObFNedXZT,[],Ivete Sangalo,artist,spotify:artist:63cUJLTWA39KcObFNedXZT,https://open.spotify.com/artist/63cUJLTWA39KcObFNedXZT
https://api.spotify.com/v1/artists/7KVJCU4z5L4EUHILL8aMxR,7KVJCU4z5L4EUHILL8aMxR,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebaf597f932b168aa759b9684e', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174af597f932b168aa759b9684e', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178af597f932b168aa759b9684e', 'height': 160, 'width': 160}]",Léo Santana,artist,spotify:artist:7KVJCU4z5L4EUHILL8aMxR,https://open.spotify.com/artist/7KVJCU4z5L4EUHILL8aMxR
https://api.spotify.com/v1/artists/2OjoIDVPQKT9B7loZbPEfp,2OjoIDVPQKT9B7loZbPEfp,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebf124d80ad340b6e83abad60f', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174f124d80ad340b6e83abad60f', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178f124d80ad340b6e83abad60f', 'height': 160, 'width': 160}]",Claudia Leitte,artist,spotify:artist:2OjoIDVPQKT9B7loZbPEfp,https://open.spotify.com/artist/2OjoIDVPQKT9B7loZbPEfp
https://api.spotify.com/v1/artists/1wqkMc837HWUwdC8sOZ7lZ,1wqkMc837HWUwdC8sOZ7lZ,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb22220ffc0c680c050eeb24b1', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517422220ffc0c680c050eeb24b1', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17822220ffc0c680c050eeb24b1', 'height': 160, 'width': 160}]",Banda Eva,artist,spotify:artist:1wqkMc837HWUwdC8sOZ7lZ,https://open.spotify.com/artist/1wqkMc837HWUwdC8sOZ7lZ
https://api.spotify.com/v1/artists/3CDoRporvSjdzTrm99a3gi,3CDoRporvSjdzTrm99a3gi,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb7635220f042a75ef8b4ffde9', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051747635220f042a75ef8b4ffde9', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1787635220f042a75ef8b4ffde9', 'height': 160, 'width': 160}]",LUDMILLA,artist,spotify:artist:3CDoRporvSjdzTrm99a3gi,https://open.spotify.com/artist/3CDoRporvSjdzTrm99a3gi
https://api.spotify.com/v1/artists/2uOlKKhuUUWlTITCYYUuIK,2uOlKKhuUUWlTITCYYUuIK,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebcc68f40b150c723cc9e13257', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174cc68f40b150c723cc9e13257', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178cc68f40b150c723cc9e13257', 'height': 160, 'width': 160}]",Pablo,artist,spotify:artist:2uOlKKhuUUWlTITCYYUuIK,https://open.spotify.com/artist/2uOlKKhuUUWlTITCYYUuIK
https://api.spotify.com/v1/artists/1SXhEXzOTF7YeuQX59m7pT,1SXhEXzOTF7YeuQX59m7pT,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb3bc7ff4729c97f5bb19232b1', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051743bc7ff4729c97f5bb19232b1', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1783bc7ff4729c97f5bb19232b1', 'height': 160, 'width': 160}]",NATTAN,artist,spotify:artist:1SXhEXzOTF7YeuQX59m7pT,https://open.spotify.com/artist/1SXhEXzOTF7YeuQX59m7pT
https://api.spotify.com/v1/artists/6yfHRw1ElPdXRdA43djXSM,6yfHRw1ElPdXRdA43djXSM,[],Ivete Sangalo,artist,spotify:artist:6yfHRw1ElPdXRdA43djXSM,https://open.spotify.com/artist/6yfHRw1ElPdXRdA43djXSM
https://api.spotify.com/v1/artists/5ZfBThYiIIhL7jHMG8gDB2,5ZfBThYiIIhL7jHMG8gDB2,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebef13995944eea605a0a7a9e1', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174ef13995944eea605a0a7a9e1', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178ef13995944eea605a0a7a9e1', 'height': 160, 'width': 160}]",Ferrugem,artist,spotify:artist:5ZfBThYiIIhL7jHMG8gDB2,https://open.spotify.com/artist/5ZfBThYiIIhL7jHMG8gDB2
