href,id,images,name,type,uri,external_urls.spotify
https://api.spotify.com/v1/artists/0vYkHhJ48Bs3jWcvZXvOrP,0vYkHhJ48Bs3jWcvZXvOrP,"[{'url': 'https://i.scdn.co/image/20e52d0b168541016f901d9ec6d4f2a0e41f193b', 'height': 1000, 'width': 1000}, {'url': 'https://i.scdn.co/image/44012cfc4fedcbe92ac5e14178061fd3a872417f', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/aa17c9e1d458bd250232535b54796a037572295d', 'height': 200, 'width': 200}, {'url': 'https://i.scdn.co/image/74fa24a25326188ab23618d9a8acaaa34a61d894', 'height': 64, 'width': 64}]",Patti Smith,artist,spotify:artist:0vYkHhJ48Bs3jWcvZXvOrP,https://open.spotify.com/artist/0vYkHhJ48Bs3jWcvZXvOrP
https://api.spotify.com/v1/artists/4NgfOZCL9Ml67xzM0xzIvC,4NgfOZCL9Ml67xzM0xzIvC,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebbf0ee2c099003f6886e4da0c', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174bf0ee2c099003f6886e4da0c', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178bf0ee2c099003f6886e4da0c', 'height': 160, 'width': 160}]",Janis Joplin,artist,spotify:artist:4NgfOZCL9Ml67xzM0xzIvC,https://open.spotify.com/artist/4NgfOZCL9Ml67xzM0xzIvC
https://api.spotify.com/v1/artists/2dgfCEMSVETFp29mRpiFpz,2dgfCEMSVETFp29mRpiFpz,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebc709db712580429fe5f61ab8', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174c709db712580429fe5f61ab8', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178c709db712580429fe5f61ab8', 'height': 160, 'width': 160}]",Patty Smyth,artist,spotify:artist:2dgfCEMSVETFp29mRpiFpz,https://open.spotify.com/artist/2dgfCEMSVETFp29mRpiFpz
https://api.spotify.com/v1/artists/08GQAI4eElDnROBrJRGE0X,08GQAI4eElDnROBrJRGE0X,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebc8752dd511cda8c31e9daee8', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174c8752dd511cda8c31e9daee8', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178c8752dd511cda8c31e9daee8', 'height': 160, 'width': 160}]",Fleetwood Mac,artist,spotify:artist:08GQAI4eElDnROBrJRGE0X,https://open.spotify.com/artist/08GQAI4eElDnROBrJRGE0X
https://api.spotify.com/v1/artists/12VaqyEhgwDRuFfEqbnrpz,12VaqyEhgwDRuFfEqbnrpz,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebb7b587363a285846586f6f74', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174b7b587363a285846586f6f74', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178b7b587363a285846586f6f74', 'height': 160, 'width': 160}]",PJ Harvey,artist,spotify:artist:12VaqyEhgwDRuFfEqbnrpz,https://open.spotify.com/artist/12VaqyEhgwDRuFfEqbnrpz
https://api.spotify.com/v1/artists/7Ey4PD4MYsKc5I2dolUwbH,7Ey4PD4MYsKc5I2dolUwbH,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebc5733401b4689b2064458e7d', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174c5733401b4689b2064458e7d', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178c5733401b4689b2064458e7d', 'height': 160, 'width': 160}]",Aerosmith,artist,spotify:artist:7Ey4PD4MYsKc5I2dolUwbH,https://open.spotify.com/artist/7Ey4PD4MYsKc5I2dolUwbH
https://api.spotify.com/v1/artists/3VHKb4zQUWPCBDx5eoxxVr,3VHKb4zQUWPCBDx5eoxxVr,[],Patti Smith feat. John Cale,artist,spotify:artist:3VHKb4zQUWPCBDx5eoxxVr,https://open.spotify.com/artist/3VHKb4zQUWPCBDx5eoxxVr
https://api.spotify.com/v1/artists/220vLPf2pHUybafYQ6S835,220vLPf2pHUybafYQ6S835,[],"Patti Smith, Thurston Moore and Lenny Kaye",artist,spotify:artist:220vLPf2pHUybafYQ6S835,https://open.spotify.com/artist/220vLPf2pHUybafYQ6S835
https://api.spotify.com/v1/artists/2dmQ0vMD3THLMcz7DsvfaT,2dmQ0vMD3THLMcz7DsvfaT,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb1183488d72f571f4b079c5d5', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051741183488d72f571f4b079c5d5', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1781183488d72f571f4b079c5d5', 'height': 160, 'width': 160}]",Pitty,artist,spotify:artist:2dmQ0vMD3THLMcz7DsvfaT,https://open.spotify.com/artist/2dmQ0vMD3THLMcz7DsvfaT
https://api.spotify.com/v1/artists/7EM9m7HOXxVgP9oEpDDv70,7EM9m7HOXxVgP9oEpDDv70,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebc379b4361bcfb87f5bd72808', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174c379b4361bcfb87f5bd72808', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178c379b4361bcfb87f5bd72808', 'height': 160, 'width': 160}]",Os Paralamas Do Sucesso,artist,spotify:artist:7EM9m7HOXxVgP9oEpDDv70,https://open.spotify.com/artist/7EM9m7HOXxVgP9oEpDDv70
